               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.968321E+02   0.100313E+03   0.399600E+00   0.110685E-02
Maximum           0.102320E+03   0.104802E+03   0.294671E+01   0.297846E+01
Range             0.548790E+01   0.448900E+01   0.254711E+01   0.297735E+01
Mean              0.100227E+03   0.102217E+03   0.152873E+01   0.565978E+00
Median            0.100242E+03   0.102208E+03   0.156664E+01   0.446528E+00
Q10%              0.993447E+02   0.101651E+03   0.813452E+00   0.766913E-01
Q25%              0.997815E+02   0.101910E+03   0.137546E+01   0.203013E+00
Q75%              0.100725E+03   0.102516E+03   0.174218E+01   0.784284E+00
Q90%              0.101188E+03   0.102810E+03   0.186973E+01   0.120408E+01
St.Dev.           0.744498E+00   0.515984E+00   0.446147E+00   0.478394E+00
Variance          0.554278E+00   0.266239E+00   0.199047E+00   0.228861E+00
CV                0.742811E-02   0.504792E-02   0.291841E+00   0.845253E+00
Skewness         -0.359588E+00   0.857160E-01   0.498102E-01   0.147511E+01
Kurtosis          0.102906E+01   0.232673E+01   0.142254E+01   0.287841E+01
MaxPost           0.100361E+03   0.102342E+03   0.169379E+01   0.676425E-01
