               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.106913E+03   0.268405E+01
Maximum           0.115380E+03   0.898165E+01
Range             0.846700E+01   0.629760E+01
Mean              0.111135E+03   0.470664E+01
Median            0.111102E+03   0.456574E+01
Q10%              0.109476E+03   0.358897E+01
Q25%              0.110424E+03   0.399040E+01
Q75%              0.111983E+03   0.532113E+01
Q90%              0.112680E+03   0.596434E+01
St.Dev.           0.124868E+01   0.100296E+01
Variance          0.155921E+01   0.100593E+01
CV                0.112358E-01   0.213095E+00
Skewness         -0.103442E+00   0.909498E+00
Kurtosis          0.436157E+00   0.148725E+01
MaxPost           0.111099E+03   0.424260E+01
