               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.999502E+02   0.239898E+01
Maximum           0.112896E+03   0.123960E+02
Range             0.129458E+02   0.999702E+01
Mean              0.107383E+03   0.543733E+01
Median            0.107439E+03   0.514122E+01
Q10%              0.105122E+03   0.377749E+01
Q25%              0.106284E+03   0.429200E+01
Q75%              0.108457E+03   0.622057E+01
Q90%              0.109559E+03   0.748391E+01
St.Dev.           0.179050E+01   0.155055E+01
Variance          0.320591E+01   0.240420E+01
CV                0.166740E-01   0.285168E+00
Skewness         -0.244573E+00   0.118169E+01
Kurtosis          0.891782E+00   0.175572E+01
MaxPost           0.107315E+03   0.448427E+01
