               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.110269E+03   0.122556E+03   0.257601E+01   0.100253E-02
Maximum           0.130285E+03   0.127666E+03   0.366469E+01   0.442960E+01
Range             0.200160E+02   0.511000E+01   0.108868E+01   0.442860E+01
Mean              0.118709E+03   0.124833E+03   0.275045E+01   0.826487E+00
Median            0.118576E+03   0.124815E+03   0.272791E+01   0.711002E+00
Q10%              0.115519E+03   0.124167E+03   0.260628E+01   0.171570E+00
Q25%              0.116935E+03   0.124496E+03   0.265389E+01   0.389995E+00
Q75%              0.120201E+03   0.125153E+03   0.281382E+01   0.107974E+01
Q90%              0.121811E+03   0.125515E+03   0.285131E+01   0.160642E+01
St.Dev.           0.266111E+01   0.577039E+00   0.152981E+00   0.631424E+00
Variance          0.708151E+01   0.332974E+00   0.234033E-01   0.398696E+00
CV                0.224171E-01   0.462248E-02   0.556205E-01   0.763985E+00
Skewness          0.436740E+00   0.184194E+00   0.291261E+01   0.174055E+01
Kurtosis          0.942364E+00   0.237884E+01   0.119767E+02   0.532709E+01
MaxPost           0.117833E+03   0.124798E+03   0.270531E+01   0.380968E+00
