               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.993804E+02   0.965073E-05
Maximum           0.100178E+03   0.104466E+01
Range             0.797600E+00   0.104465E+01
Mean              0.997983E+02   0.415510E+00
Median            0.998030E+02   0.429329E+00
Q10%              0.996309E+02   0.939755E-01
Q25%              0.997165E+02   0.260234E+00
Q75%              0.998843E+02   0.576384E+00
Q90%              0.999517E+02   0.697424E+00
St.Dev.           0.123547E+00   0.214650E+00
Variance          0.152638E-01   0.460747E-01
CV                0.123797E-02   0.516594E+00
Skewness         -0.608661E-01  -0.782288E-01
Kurtosis          0.782111E-01  -0.711074E+00
MaxPost           0.998132E+02   0.418786E+00
