"res1"	"Y1_gamma1"	"LogPost"
116.52	0.00999352	-34.8118
116.05	0.033436	-33.5723
116.297	0.308799	-34.1594
115.894	0.45432	-35.2877
116.086	0.263679	-33.9066
116.275	0.173717	-33.7408
116.249	0.00714852	-33.5114
116.483	0.0146522	-34.5402
116.483	0.141982	-34.6272
116.319	0.152994	-33.8255
115.812	0.533482	-36.1057
116.162	0.692763	-36.0401
115.992	0.147972	-33.8694
116.47	0.267759	-34.7755
116.176	0.0215694	-33.4355
116.063	0.429027	-34.5977
116.575	0.204537	-35.4109
116.197	0.254917	-33.8271
116.045	0.255287	-33.9622
115.876	0.373078	-35.0358
116.117	0.0558655	-33.4714
116.389	0.704806	-36.4213
116.216	0.528441	-35.0298
116.216	0.560891	-35.2153
116.02	0.581704	-35.5136
116.371	0.914959	-37.8454
116.22	1.11518	-39.2614
116.096	0.220278	-33.7671
115.938	0.376387	-34.7496
115.983	0.0778582	-33.8098
116.226	0.479022	-34.7722
116.222	0.660252	-35.8348
116.449	0.459017	-35.3149
115.757	0.0120576	-35.1937
115.68	0.195379	-36.06
116.183	0.343572	-34.127
115.949	0.343572	-34.575
115.883	0.477331	-35.4468
116.1	0.47332	-34.7612
115.998	0.215844	-33.9909
115.789	0.130678	-35.0052
115.912	0.647799	-36.2571
116.59	0.542668	-36.4894
116.161	0.581561	-35.3267
116.237	0.28163	-33.9505
115.954	0.235087	-34.2061
116.055	0.200669	-33.7929
116.141	0.200669	-33.6769
116.063	0.166278	-33.7012
116.231	0.614651	-35.5511
116.005	0.166491	-33.857
116.558	0.149756	-35.1939
116.047	0.099728	-33.6326
115.91	0.399076	-34.9647
116.751	0.0286502	-37.1653
116.805	0.375041	-37.9934
116.243	0.187319	-33.7052
116.413	0.412417	-34.952
116.527	0.409655	-35.5605
116.143	0.0191937	-33.4366
116.43	0.0521609	-34.2187
116.332	0.441806	-34.7887
116.038	0.0919899	-33.6448
116.184	0.521413	-34.9768
116.465	0.0398558	-34.4271
116.206	0.388455	-34.3246
115.722	0.310282	-35.9009
116.318	0.0385249	-33.7008
116.369	0.0385249	-33.9002
116.372	0.118739	-33.9767
116.401	0.117303	-34.1143
116.172	0.156785	-33.5789
115.831	0.490709	-35.7873
116.671	0.0381369	-36.2139
116.112	0.464065	-34.7006
115.917	0.464065	-35.2277
116.351	0.310758	-34.3305
116.084	0.307561	-34.0547
115.983	0.0599481	-33.7948
116.027	0.360315	-34.3763
116.166	0.135561	-33.541
116.166	0.119558	-33.5166
115.761	0.47196	-36.1533
116.538	0.371016	-35.5043
116.452	0.136347	-34.4197
116.285	0.46122	-34.7675
116.661	0.46122	-36.7292
116.263	0.144633	-33.6608
116.299	0.27465	-34.0547
116.468	0.280278	-34.7931
116.049	0.280278	-34.0308
116.049	0.280278	-34.0308
116.492	0.372373	-35.2103
116.069	0.304025	-34.0691
116.167	0.101097	-33.4922
116.167	0.208833	-33.6912
116.397	0.163799	-34.1601
116.334	0.371926	-34.4936
115.853	0.703791	-36.8591
116.047	0.195119	-33.7988
116.374	0.274347	-34.3076
116.374	0.210304	-34.1459
116.085	0.0524507	-33.5103
116.085	0.0110344	-33.4944
115.535	0.199989	-37.7215
115.952	0.641535	-36.0741
116.259	0.273686	-33.9611
116.181	0.224578	-33.7344
116.189	0.331525	-34.0826
116.25	0.095581	-33.5677
116.015	0.418287	-34.6594
115.913	0.353508	-34.7716
116.227	0.138976	-33.5904
116	0.336151	-34.3595
116.283	0.12636	-33.6788
115.799	0.0697308	-34.8715
116.065	0.131235	-33.6348
116.331	0.125755	-33.8226
116.002	0.399298	-34.6117
116.514	0.188176	-34.9081
116.453	0.188176	-34.5054
116.08	0.271857	-33.9407
115.737	0.351574	-35.8958
116.124	0.525291	-35.0172
116.723	0.377923	-37.1012
116.034	0.377923	-34.431
116.439	0.178688	-34.4056
116.5	0.619476	-36.3443
115.674	0.623511	-37.4774
116.126	0.154028	-33.5873
115.931	0.201799	-34.2299
115.975	0.000711094	-33.807
115.965	0.362696	-34.5843
116.377	0.135956	-34.0237
115.847	0.529151	-35.8871
116.041	0.0317668	-33.5937
116.558	0.187535	-35.2433
116.338	0.168731	-33.9175
116.141	0.0271494	-33.4396
115.977	0.159105	-33.9429
116.179	0.229375	-33.7464
116.035	0.35446	-34.3318
116.338	0.119027	-33.8423
116.047	0.357197	-34.3157
116.193	0.0163165	-33.4422
116.071	0.248471	-33.8863
115.952	0.173737	-34.0763
116.103	0.0482677	-33.4813
115.961	0.57228	-35.6296
116.567	0.721234	-37.2511
115.545	0.24075	-37.6408
115.825	0.192659	-34.8304
116.171	0.443755	-34.5686
116.449	0.0714079	-34.3401
116.039	0.0834554	-33.6337
116.268	0.0205164	-33.5541
116.137	0.0190232	-33.4393
115.669	0.0190232	-36.0422
115.859	0.321046	-34.9435
116.142	0.27563	-33.8868
116.128	0.27563	-33.8956
116.169	0.102639	-33.4944
116.169	0.0405108	-33.4409
116.32	0.0781839	-33.7317
115.855	0.0781839	-34.4773
116.277	0.0781839	-33.6075
116.043	0.150908	-33.7186
116.084	0.408309	-34.466
116.046	0.909714	-37.7365
115.877	0.417216	-35.2065
116.62	0.178867	-35.7773
115.826	0.219732	-34.8838
116.338	0.097142	-33.8165
116.174	0.0784442	-33.469
116.307	0.176904	-33.8328
116.088	0.0944979	-33.5436
116.216	0.0421724	-33.4722
116.293	0.684839	-36.0757
115.802	0.314491	-35.2939
116.494	0.185835	-34.7653
115.604	0.185835	-36.8678
116.542	0.241964	-35.2115
116.435	0.32516	-34.7419
116.146	0.149884	-33.5683
