               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.100096E+03   0.994214E+02   0.198471E+01   0.469625E-02
Maximum           0.106306E+03   0.107249E+03   0.544055E+01   0.248141E+01
Range             0.621000E+01   0.782760E+01   0.345584E+01   0.247671E+01
Mean              0.102061E+03   0.102109E+03   0.400783E+01   0.614487E+00
Median            0.102007E+03   0.101859E+03   0.401096E+01   0.556065E+00
Q10%              0.101440E+03   0.101118E+03   0.241289E+01   0.935375E-01
Q25%              0.101701E+03   0.101501E+03   0.327676E+01   0.278085E+00
Q75%              0.102374E+03   0.102485E+03   0.502337E+01   0.888285E+00
Q90%              0.102732E+03   0.103576E+03   0.529896E+01   0.124670E+01
St.Dev.           0.579519E+00   0.110279E+01   0.102085E+01   0.436386E+00
Variance          0.335842E+00   0.121616E+01   0.104213E+01   0.190432E+00
CV                0.567818E-02   0.108001E-01   0.254714E+00   0.710163E+00
Skewness          0.110063E+01   0.147776E+01  -0.295128E+00   0.901161E+00
Kurtosis          0.665213E+01   0.352522E+01  -0.999850E+00   0.843336E+00
MaxPost           0.102387E+03   0.101484E+03   0.411673E+01   0.294860E+00
