res1           res2           tau1           Y1_gamma1      LogPost        
   0.101764E+03   0.101600E+03   0.529636E+01   0.296668E-01  -0.201193E+02
   0.101572E+03   0.103357E+03   0.529636E+01   0.123781E-01  -0.194222E+02
   0.101934E+03   0.102223E+03   0.316145E+01   0.123781E-01  -0.209408E+02
   0.101606E+03   0.103636E+03   0.527487E+01   0.554249E-01  -0.193622E+02
   0.101959E+03   0.101260E+03   0.422652E+01   0.324876E+00  -0.191334E+02
   0.102786E+03   0.994214E+02   0.477163E+01   0.141726E+01  -0.260300E+02
   0.102658E+03   0.101886E+03   0.400885E+01   0.358061E+00  -0.196093E+02
   0.102047E+03   0.102492E+03   0.466068E+01   0.835405E+00  -0.203111E+02
   0.102022E+03   0.102758E+03   0.502360E+01   0.622983E+00  -0.201916E+02
   0.101700E+03   0.103038E+03   0.500110E+01   0.124417E+01  -0.217071E+02
   0.101716E+03   0.102328E+03   0.530638E+01   0.201120E+00  -0.195088E+02
   0.101797E+03   0.104193E+03   0.531063E+01   0.625734E+00  -0.195200E+02
   0.101941E+03   0.102871E+03   0.498073E+01   0.542486E+00  -0.202132E+02
   0.102610E+03   0.101262E+03   0.433031E+01   0.120329E+01  -0.215731E+02
   0.101362E+03   0.101130E+03   0.387457E+01   0.415348E+00  -0.214057E+02
   0.101788E+03   0.102335E+03   0.439271E+01   0.292469E+00  -0.197156E+02
   0.101721E+03   0.103019E+03   0.519057E+01   0.233857E+00  -0.192270E+02
   0.102216E+03   0.101591E+03   0.406406E+01   0.496440E+00  -0.188041E+02
   0.102599E+03   0.101999E+03   0.333267E+01   0.519149E+00  -0.205905E+02
   0.102345E+03   0.101899E+03   0.230088E+01   0.488484E+00  -0.201269E+02
   0.102189E+03   0.101880E+03   0.288724E+01   0.255847E+00  -0.199993E+02
   0.101004E+03   0.100593E+03   0.434472E+01   0.228818E+01  -0.267832E+02
   0.101567E+03   0.101635E+03   0.507219E+01   0.608100E-01  -0.202830E+02
   0.102381E+03   0.102388E+03   0.338382E+01   0.124924E+01  -0.218177E+02
   0.102316E+03   0.101650E+03   0.408604E+01   0.416674E+00  -0.187556E+02
   0.101104E+03   0.101703E+03   0.309269E+01   0.416674E+00  -0.211681E+02
   0.101541E+03   0.101604E+03   0.258237E+01   0.568781E+00  -0.203521E+02
   0.103044E+03   0.102426E+03   0.398126E+01   0.117009E+01  -0.221802E+02
   0.101149E+03   0.102448E+03   0.202067E+01   0.702665E+00  -0.216663E+02
   0.102219E+03   0.102411E+03   0.531509E+01   0.938093E-01  -0.209533E+02
   0.101648E+03   0.100782E+03   0.527760E+01   0.153136E+01  -0.232255E+02
   0.102129E+03   0.102642E+03   0.528738E+01   0.889465E+00  -0.202923E+02
   0.101455E+03   0.101657E+03   0.421209E+01   0.490884E+00  -0.208700E+02
   0.101765E+03   0.102424E+03   0.258813E+01   0.477524E+00  -0.210970E+02
   0.102588E+03   0.101691E+03   0.361010E+01   0.168655E+01  -0.229211E+02
   0.102525E+03   0.999994E+02   0.401675E+01   0.634720E+00  -0.234911E+02
   0.102908E+03   0.101761E+03   0.371011E+01   0.413075E+00  -0.197300E+02
   0.102138E+03   0.101636E+03   0.278985E+01   0.758451E-01  -0.200584E+02
   0.102138E+03   0.101320E+03   0.364790E+01   0.893090E-01  -0.188728E+02
   0.102234E+03   0.101973E+03   0.323592E+01   0.893090E-01  -0.203187E+02
   0.102666E+03   0.102575E+03   0.376611E+01   0.948698E+00  -0.217919E+02
   0.102143E+03   0.101800E+03   0.402985E+01   0.116325E+01  -0.208381E+02
   0.101899E+03   0.101764E+03   0.514486E+01   0.667150E+00  -0.200614E+02
   0.101878E+03   0.102385E+03   0.298986E+01   0.107624E+01  -0.212505E+02
   0.102477E+03   0.101251E+03   0.353769E+01   0.622336E+00  -0.197868E+02
   0.102476E+03   0.102142E+03   0.295139E+01   0.981207E+00  -0.209295E+02
   0.101931E+03   0.102193E+03   0.234853E+01   0.738848E+00  -0.202700E+02
   0.101798E+03   0.103123E+03   0.476340E+01   0.739152E+00  -0.205574E+02
   0.102757E+03   0.102151E+03   0.365701E+01   0.605997E+00  -0.203277E+02
   0.101628E+03   0.102593E+03   0.242728E+01   0.146321E+01  -0.227903E+02
   0.101841E+03   0.102109E+03   0.507853E+01   0.683879E-01  -0.198809E+02
   0.102067E+03   0.103992E+03   0.518768E+01   0.685436E+00  -0.197649E+02
   0.101309E+03   0.104488E+03   0.518768E+01   0.845399E+00  -0.211324E+02
   0.101858E+03   0.104090E+03   0.532829E+01   0.657065E+00  -0.195333E+02
   0.102372E+03   0.102831E+03   0.532829E+01   0.569870E+00  -0.208007E+02
   0.102267E+03   0.101834E+03   0.301190E+01   0.429515E+00  -0.199724E+02
   0.102329E+03   0.101350E+03   0.414878E+01   0.119827E+01  -0.208443E+02
   0.101462E+03   0.100371E+03   0.435613E+01   0.872690E+00  -0.227844E+02
   0.101960E+03   0.101550E+03   0.229206E+01   0.100839E+01  -0.211586E+02
   0.101928E+03   0.102774E+03   0.450992E+01   0.398537E+00  -0.201855E+02
   0.102346E+03   0.103065E+03   0.533528E+01   0.102874E+01  -0.209924E+02
   0.102584E+03   0.101151E+03   0.384438E+01   0.919666E-01  -0.188282E+02
   0.102584E+03   0.101277E+03   0.384438E+01   0.331700E-01  -0.187109E+02
   0.102659E+03   0.100354E+03   0.376291E+01   0.946285E+00  -0.227060E+02
   0.102057E+03   0.101714E+03   0.433013E+01   0.390265E+00  -0.193337E+02
   0.101767E+03   0.101564E+03   0.462958E+01   0.652254E+00  -0.201993E+02
   0.101678E+03   0.101293E+03   0.373624E+01   0.260980E+00  -0.199791E+02
   0.102043E+03   0.100720E+03   0.359433E+01   0.734073E+00  -0.218686E+02
   0.101390E+03   0.101500E+03   0.233101E+01   0.579502E+00  -0.207362E+02
   0.102388E+03   0.101801E+03   0.231798E+01   0.713770E+00  -0.203503E+02
   0.102128E+03   0.100709E+03   0.406870E+01   0.176365E+00  -0.199273E+02
   0.101678E+03   0.101523E+03   0.313001E+01   0.826886E+00  -0.207633E+02
   0.102637E+03   0.100669E+03   0.387885E+01   0.512055E+00  -0.202976E+02
   0.101535E+03   0.101915E+03   0.520373E+01   0.313530E+00  -0.200773E+02
   0.102332E+03   0.101928E+03   0.513986E+01   0.120361E+01  -0.216579E+02
   0.101520E+03   0.101357E+03   0.464445E+01   0.860173E+00  -0.211410E+02
   0.101434E+03   0.103134E+03   0.497353E+01   0.839327E+00  -0.213024E+02
   0.101488E+03   0.101610E+03   0.329293E+01   0.523485E+00  -0.203864E+02
   0.102480E+03   0.102285E+03   0.395333E+01   0.134941E+01  -0.219477E+02
   0.102144E+03   0.102285E+03   0.458693E+01   0.515216E+00  -0.201895E+02
   0.101936E+03   0.102723E+03   0.305334E+01   0.107219E+01  -0.219918E+02
   0.100760E+03   0.102040E+03   0.232021E+01   0.596538E+00  -0.213414E+02
   0.101513E+03   0.101760E+03   0.308656E+01   0.466612E-01  -0.202943E+02
   0.102644E+03   0.101329E+03   0.345510E+01   0.285075E+00  -0.195854E+02
   0.101712E+03   0.103115E+03   0.458728E+01   0.742611E+00  -0.206197E+02
   0.102047E+03   0.101512E+03   0.530869E+01   0.102068E+01  -0.210589E+02
   0.102319E+03   0.103078E+03   0.485883E+01   0.467960E+00  -0.216167E+02
   0.101867E+03   0.101436E+03   0.528916E+01   0.563974E+00  -0.202148E+02
   0.101371E+03   0.102855E+03   0.526499E+01   0.335960E+00  -0.201941E+02
   0.102428E+03   0.102103E+03   0.320202E+01   0.552469E+00  -0.203966E+02
   0.102098E+03   0.102212E+03   0.300969E+01   0.552469E+00  -0.202881E+02
   0.102540E+03   0.100741E+03   0.482747E+01   0.161222E+01  -0.239769E+02
   0.101927E+03   0.101631E+03   0.526985E+01   0.397638E+00  -0.200777E+02
   0.101927E+03   0.102775E+03   0.376363E+01   0.134384E+01  -0.233387E+02
   0.102721E+03   0.101984E+03   0.266294E+01   0.986425E+00  -0.211673E+02
   0.102408E+03   0.102136E+03   0.384212E+01   0.852727E-01  -0.206248E+02
   0.101927E+03   0.101475E+03   0.401646E+01   0.423289E+00  -0.190480E+02
   0.102071E+03   0.101364E+03   0.334951E+01   0.363899E+00  -0.205954E+02
   0.101369E+03   0.104306E+03   0.536604E+01   0.434798E+00  -0.203400E+02
   0.101710E+03   0.104836E+03   0.536604E+01   0.916368E+00  -0.205043E+02
   0.101751E+03   0.102382E+03   0.536604E+01   0.376161E+00  -0.194434E+02
   0.101676E+03   0.101858E+03   0.483679E+01   0.179173E+00  -0.199060E+02
   0.101839E+03   0.102018E+03   0.224170E+01   0.319056E+00  -0.199661E+02
   0.101624E+03   0.102724E+03   0.519017E+01   0.571001E+00  -0.195895E+02
   0.102193E+03   0.105020E+03   0.539161E+01   0.780681E+00  -0.206313E+02
   0.101565E+03   0.103601E+03   0.531668E+01   0.177844E+01  -0.234534E+02
   0.101678E+03   0.101180E+03   0.397449E+01   0.175194E+00  -0.197878E+02
   0.102925E+03   0.101180E+03   0.396623E+01   0.827818E-01  -0.198622E+02
   0.101752E+03   0.101155E+03   0.519878E+01   0.136982E+00  -0.205774E+02
   0.101380E+03   0.102851E+03   0.519823E+01   0.432661E+00  -0.201752E+02
   0.101406E+03   0.101924E+03   0.518417E+01   0.432661E+00  -0.205355E+02
   0.102875E+03   0.102138E+03   0.229170E+01   0.125512E+01  -0.219928E+02
   0.102066E+03   0.101848E+03   0.353969E+01   0.147360E+01  -0.221805E+02
   0.102299E+03   0.105064E+03   0.518336E+01   0.898147E+00  -0.210900E+02
   0.102182E+03   0.104815E+03   0.518336E+01   0.507674E+00  -0.204004E+02
   0.102022E+03   0.100655E+03   0.341793E+01   0.507674E+00  -0.221774E+02
   0.102488E+03   0.101526E+03   0.346860E+01   0.330240E+00  -0.191761E+02
   0.102389E+03   0.101526E+03   0.244521E+01   0.614454E+00  -0.205435E+02
   0.101463E+03   0.101108E+03   0.520734E+01   0.170507E+01  -0.238541E+02
   0.102230E+03   0.100079E+03   0.406360E+01   0.143217E+01  -0.236873E+02
   0.102082E+03   0.102651E+03   0.484741E+01   0.719437E+00  -0.202581E+02
