X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.198350E+01   0.198350E+01   0.102975E+03   0.102975E+03   0.102387E+03   0.587534E+00   0.351146E+00
   0.207664E+01   0.207664E+01   0.101609E+03   0.101609E+03   0.102387E+03  -0.778435E+00  -0.934798E+00
   0.208578E+01   0.208578E+01   0.101764E+03   0.101764E+03   0.102387E+03  -0.622641E+00  -0.688234E+00
   0.235489E+01   0.235489E+01   0.102236E+03   0.102236E+03   0.102387E+03  -0.151190E+00  -0.157375E+00
   0.341649E+01   0.341649E+01   0.104166E+03   0.104166E+03   0.102387E+03   0.177891E+01   0.153292E+01
   0.364767E+01   0.364767E+01   0.103139E+03   0.103139E+03   0.102387E+03   0.752133E+00   0.448865E+00
   0.378891E+01   0.378891E+01   0.102161E+03   0.102161E+03   0.102387E+03  -0.226227E+00  -0.226987E+00
   0.412436E+01   0.412436E+01   0.101719E+03   0.101719E+03   0.101484E+03   0.234511E+00   0.294954E+00
   0.419606E+01   0.419606E+01   0.100100E+03   0.100100E+03   0.101484E+03  -0.138427E+01  -0.793820E+00
   0.439167E+01   0.439167E+01   0.100104E+03   0.100104E+03   0.101484E+03  -0.137981E+01  -0.181565E+01
   0.457377E+01   0.457377E+01   0.102342E+03   0.102342E+03   0.101484E+03   0.857650E+00   0.630012E+00
   0.514274E+01   0.514274E+01   0.101674E+03   0.101674E+03   0.101484E+03   0.190147E+00   0.236365E+00
   0.544229E+01   0.544229E+01   0.103414E+03   0.103414E+03   0.101484E+03   0.193000E+01   0.139230E+01
