               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.111305E+03   0.812008E+02   0.370444E+01   0.429636E+01
Maximum           0.119473E+03   0.112534E+03   0.997783E+01   0.847494E+01
Range             0.816800E+01   0.313332E+02   0.627339E+01   0.417858E+01
Mean              0.115920E+03   0.107668E+03   0.527696E+01   0.589389E+01
Median            0.116118E+03   0.108688E+03   0.473986E+01   0.587364E+01
Q10%              0.113896E+03   0.106596E+03   0.449163E+01   0.513767E+01
Q25%              0.115102E+03   0.107835E+03   0.462528E+01   0.546270E+01
Q75%              0.116945E+03   0.109496E+03   0.519930E+01   0.627032E+01
Q90%              0.117665E+03   0.110175E+03   0.670155E+01   0.662365E+01
St.Dev.           0.147148E+01   0.441820E+01   0.144385E+01   0.607467E+00
Variance          0.216525E+01   0.195205E+02   0.208470E+01   0.369017E+00
CV                0.126939E-01   0.410353E-01   0.273614E+00   0.103067E+00
Skewness         -0.501842E+00  -0.342665E+01   0.247498E+01   0.419754E+00
Kurtosis          0.195679E+00   0.120693E+02   0.499378E+01   0.706552E+00
MaxPost           0.116744E+03   0.109091E+03   0.464535E+01   0.549051E+01
