               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.641751E+02   0.731891E+02   0.385117E+01   0.296641E-02
Maximum           0.694681E+02   0.767104E+02   0.420213E+01   0.293622E+01
Range             0.529300E+01   0.352130E+01   0.350960E+00   0.293325E+01
Mean              0.659516E+02   0.749195E+02   0.396458E+01   0.118762E+01
Median            0.658911E+02   0.749349E+02   0.393847E+01   0.118748E+01
Q10%              0.650790E+02   0.742401E+02   0.386585E+01   0.404456E+00
Q25%              0.654874E+02   0.746174E+02   0.388980E+01   0.790115E+00
Q75%              0.663700E+02   0.752324E+02   0.402364E+01   0.153934E+01
Q90%              0.669295E+02   0.755326E+02   0.413189E+01   0.191111E+01
St.Dev.           0.733542E+00   0.512448E+00   0.963307E-01   0.587020E+00
Variance          0.538084E+00   0.262603E+00   0.927960E-02   0.344593E+00
CV                0.111224E-01   0.683998E-02   0.242978E-01   0.494285E+00
Skewness          0.568592E+00  -0.113208E-01   0.941344E+00   0.324397E+00
Kurtosis          0.107036E+01   0.716281E+00  -0.257938E+00  -0.299333E-01
MaxPost           0.657447E+02   0.748670E+02   0.391778E+01   0.725204E+00
