               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.798886E+02   0.679036E+02   0.775693E+01   0.615439E-03
Maximum           0.824231E+02   0.712238E+02   0.793363E+01   0.162334E+01
Range             0.253450E+01   0.332020E+01   0.176700E+00   0.162272E+01
Mean              0.807168E+02   0.695546E+02   0.784218E+01   0.337588E+00
Median            0.807279E+02   0.695568E+02   0.783955E+01   0.285615E+00
Q10%              0.803317E+02   0.687435E+02   0.777341E+01   0.695260E-01
Q25%              0.805257E+02   0.691351E+02   0.780476E+01   0.140092E+00
Q75%              0.808947E+02   0.699751E+02   0.788489E+01   0.469534E+00
Q90%              0.810952E+02   0.703604E+02   0.791077E+01   0.666751E+00
St.Dev.           0.302710E+00   0.607917E+00   0.490077E-01   0.257533E+00
Variance          0.916332E-01   0.369563E+00   0.240176E-02   0.663231E-01
CV                0.375027E-02   0.874014E-02   0.624925E-02   0.762862E+00
Skewness          0.354917E+00   0.295736E-02   0.906473E-01   0.135329E+01
Kurtosis          0.170931E+01  -0.311250E+00  -0.105777E+01   0.273638E+01
MaxPost           0.807067E+02   0.695625E+02   0.780451E+01   0.571970E-02
