               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.992185E+02   0.106673E+03   0.548871E+01   0.833013E-02
Maximum           0.100324E+03   0.109947E+03   0.579898E+01   0.148546E+01
Range             0.110550E+01   0.327400E+01   0.310270E+00   0.147713E+01
Mean              0.997316E+02   0.108115E+03   0.564735E+01   0.608421E+00
Median            0.997336E+02   0.108104E+03   0.564804E+01   0.609721E+00
Q10%              0.994951E+02   0.107406E+03   0.552144E+01   0.206325E+00
Q25%              0.995893E+02   0.107750E+03   0.556414E+01   0.415587E+00
Q75%              0.998570E+02   0.108505E+03   0.572567E+01   0.815445E+00
Q90%              0.999741E+02   0.108764E+03   0.577162E+01   0.977996E+00
St.Dev.           0.190494E+00   0.551270E+00   0.903598E-01   0.284675E+00
Variance          0.362881E-01   0.303899E+00   0.816490E-02   0.810400E-01
CV                0.191007E-02   0.509890E-02   0.160004E-01   0.467892E+00
Skewness          0.600144E-01   0.211254E+00  -0.345073E-01   0.374191E-02
Kurtosis         -0.106481E+00   0.172847E+00  -0.122249E+01  -0.454519E+00
MaxPost           0.997246E+02   0.108064E+03   0.568254E+01   0.570483E+00
