               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.763310E+02   0.894375E+02   0.519075E+01   0.760428E+01
Maximum           0.876104E+02   0.103368E+03   0.771846E+01   0.149014E+02
Range             0.112794E+02   0.139305E+02   0.252771E+01   0.729712E+01
Mean              0.818616E+02   0.962786E+02   0.593142E+01   0.997017E+01
Median            0.818978E+02   0.963446E+02   0.573704E+01   0.993328E+01
Q10%              0.797686E+02   0.937014E+02   0.560138E+01   0.868350E+01
Q25%              0.807816E+02   0.949437E+02   0.564740E+01   0.922900E+01
Q75%              0.829012E+02   0.977021E+02   0.619394E+01   0.105816E+02
Q90%              0.838993E+02   0.988174E+02   0.663945E+01   0.112808E+02
St.Dev.           0.172430E+01   0.210557E+01   0.431342E+00   0.104581E+01
Variance          0.297321E+01   0.443342E+01   0.186056E+00   0.109372E+01
CV                0.210636E-01   0.218695E-01   0.727215E-01   0.104894E+00
Skewness          0.454039E-01  -0.118870E+00   0.136183E+01   0.550065E+00
Kurtosis          0.645584E+00   0.506488E+00   0.125050E+01   0.985891E+00
MaxPost           0.810401E+02   0.962362E+02   0.578168E+01   0.923951E+01
