"loglikelihood"	"logprio"	"logposterior"
-216.827829814012	-4.60517018598809	-221.433
-218.487829814012	-4.60517018598809	-223.093
-218.697829814012	-4.60517018598809	-223.303
-216.527829814012	-4.60517018598809	-221.133
-218.401829814012	-4.60517018598809	-223.007
-217.269829814012	-4.60517018598809	-221.875
-216.916829814012	-4.60517018598809	-221.522
-217.470829814012	-4.60517018598809	-222.076
-218.455829814012	-4.60517018598809	-223.061
-219.166829814012	-4.60517018598809	-223.772
-216.500829814012	-4.60517018598809	-221.106
-217.063829814012	-4.60517018598809	-221.669
-216.623829814012	-4.60517018598809	-221.229
-220.380829814012	-4.60517018598809	-224.986
-216.852829814012	-4.60517018598809	-221.458
-220.376829814012	-4.60517018598809	-224.982
-216.533829814012	-4.60517018598809	-221.139
-223.619829814012	-4.60517018598809	-228.225
-217.110829814012	-4.60517018598809	-221.716
-218.689829814012	-4.60517018598809	-223.295
-216.500829814012	-4.60517018598809	-221.106
-216.874829814012	-4.60517018598809	-221.48
-219.547829814012	-4.60517018598809	-224.153
-222.720829814012	-4.60517018598809	-227.326
-226.558829814012	-4.60517018598809	-231.164
-216.860829814012	-4.60517018598809	-221.466
-217.773829814012	-4.60517018598809	-222.379
-219.801829814012	-4.60517018598809	-224.407
-220.831829814012	-4.60517018598809	-225.437
-220.129829814012	-4.60517018598809	-224.735
-221.422829814012	-4.60517018598809	-226.028
-217.172829814012	-4.60517018598809	-221.778
-217.044829814012	-4.60517018598809	-221.65
-216.727829814012	-4.60517018598809	-221.333
-217.351829814012	-4.60517018598809	-221.957
-216.436829814012	-4.60517018598809	-221.042
-218.357829814012	-4.60517018598809	-222.963
-220.947829814012	-4.60517018598809	-225.553
-217.883829814012	-4.60517018598809	-222.489
-216.958829814012	-4.60517018598809	-221.564
-217.833829814012	-4.60517018598809	-222.439
-220.131829814012	-4.60517018598809	-224.737
-221.665829814012	-4.60517018598809	-226.271
-219.001829814012	-4.60517018598809	-223.607
-217.855829814012	-4.60517018598809	-222.461
-219.351829814012	-4.60517018598809	-223.957
-219.846829814012	-4.60517018598809	-224.452
-223.138829814012	-4.60517018598809	-227.744
-220.527829814012	-4.60517018598809	-225.133
-219.757829814012	-4.60517018598809	-224.363
-217.023829814012	-4.60517018598809	-221.629
-224.097829814012	-4.60517018598809	-228.703
-220.088829814012	-4.60517018598809	-224.694
-222.440829814012	-4.60517018598809	-227.046
-221.825829814012	-4.60517018598809	-226.431
-222.251829814012	-4.60517018598809	-226.857
-222.666829814012	-4.60517018598809	-227.272
-220.251829814012	-4.60517018598809	-224.857
-216.996829814012	-4.60517018598809	-221.602
-218.183829814012	-4.60517018598809	-222.789
-218.307829814012	-4.60517018598809	-222.913
-217.193829814012	-4.60517018598809	-221.799
-218.793829814012	-4.60517018598809	-223.399
-219.080829814012	-4.60517018598809	-223.686
-221.864829814012	-4.60517018598809	-226.47
-221.934829814012	-4.60517018598809	-226.54
-220.976829814012	-4.60517018598809	-225.582
-228.918829814012	-4.60517018598809	-233.524
-219.974829814012	-4.60517018598809	-224.58
-217.695829814012	-4.60517018598809	-222.301
-217.297829814012	-4.60517018598809	-221.903
-217.486829814012	-4.60517018598809	-222.092
-216.472829814012	-4.60517018598809	-221.078
-216.834829814012	-4.60517018598809	-221.44
-220.117829814012	-4.60517018598809	-224.723
-219.027829814012	-4.60517018598809	-223.633
-222.227829814012	-4.60517018598809	-226.833
-218.862829814012	-4.60517018598809	-223.468
-218.955829814012	-4.60517018598809	-223.561
-218.865829814012	-4.60517018598809	-223.471
-218.150829814012	-4.60517018598809	-222.756
-219.159829814012	-4.60517018598809	-223.765
-219.567829814012	-4.60517018598809	-224.173
-219.728829814012	-4.60517018598809	-224.334
-217.986829814012	-4.60517018598809	-222.592
-218.244829814012	-4.60517018598809	-222.85
-217.388829814012	-4.60517018598809	-221.994
-221.875829814012	-4.60517018598809	-226.481
