               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.109817E+03   0.552073E+01
Maximum           0.115326E+03   0.949757E+01
Range             0.550900E+01   0.397684E+01
Mean              0.112597E+03   0.691700E+01
Median            0.112600E+03   0.685877E+01
Q10%              0.111467E+03   0.617952E+01
Q25%              0.112046E+03   0.649787E+01
Q75%              0.113173E+03   0.731159E+01
Q90%              0.113646E+03   0.772725E+01
St.Dev.           0.848218E+00   0.608151E+00
Variance          0.719473E+00   0.369848E+00
CV                0.753319E-02   0.879213E-01
Skewness         -0.104483E+00   0.378513E+00
Kurtosis          0.840737E-01   0.256798E+00
MaxPost           0.112530E+03   0.670428E+01
