               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.776598E+02   0.577218E+02   0.751349E+01   0.292090E+01
Maximum           0.829560E+02   0.799485E+02   0.982458E+01   0.656362E+01
Range             0.529620E+01   0.222267E+02   0.231109E+01   0.364272E+01
Mean              0.801213E+02   0.673214E+02   0.945029E+01   0.417306E+01
Median            0.801043E+02   0.673221E+02   0.944755E+01   0.409336E+01
Q10%              0.791193E+02   0.633213E+02   0.932855E+01   0.345521E+01
Q25%              0.795637E+02   0.653784E+02   0.938651E+01   0.378452E+01
Q75%              0.806433E+02   0.693403E+02   0.953378E+01   0.451821E+01
Q90%              0.810838E+02   0.714142E+02   0.957018E+01   0.497845E+01
St.Dev.           0.784624E+00   0.321408E+01   0.125044E+00   0.597542E+00
Variance          0.615635E+00   0.103303E+02   0.156359E-01   0.357056E+00
CV                0.979295E-02   0.477424E-01   0.132317E-01   0.143190E+00
Skewness          0.105177E+00   0.801624E-01  -0.735779E+01   0.655051E+00
Kurtosis          0.176673E+00   0.735627E+00   0.114471E+03   0.736425E+00
MaxPost           0.801886E+02   0.674257E+02   0.953174E+01   0.385548E+01
