               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.903989E+02   0.694854E+02   0.283841E+01   0.323557E+01
Maximum           0.975384E+02   0.762345E+02   0.331980E+01   0.718530E+01
Range             0.713950E+01   0.674910E+01   0.481390E+00   0.394973E+01
Mean              0.935674E+02   0.722822E+02   0.310215E+01   0.468979E+01
Median            0.935944E+02   0.722663E+02   0.310065E+01   0.464895E+01
Q10%              0.919779E+02   0.709584E+02   0.305557E+01   0.389654E+01
Q25%              0.927639E+02   0.714963E+02   0.307222E+01   0.422792E+01
Q75%              0.943399E+02   0.729400E+02   0.313165E+01   0.512014E+01
Q90%              0.951137E+02   0.737057E+02   0.315220E+01   0.557103E+01
St.Dev.           0.124524E+01   0.108998E+01   0.375248E-01   0.647468E+00
Variance          0.155061E+01   0.118805E+01   0.140811E-02   0.419215E+00
CV                0.133084E-01   0.150794E-01   0.120964E-01   0.138059E+00
Skewness          0.155293E+00   0.224307E+00  -0.200734E+00   0.521255E+00
Kurtosis          0.273915E+00   0.270431E+00   0.547375E+01   0.419551E+00
MaxPost           0.934711E+02   0.724132E+02   0.313601E+01   0.440128E+01
