X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.475920E+01   0.475920E+01   0.109529E+03   0.109529E+03   0.110232E+03  -0.702749E+00  -0.544011E+00
   0.476982E+01   0.476982E+01   0.111149E+03   0.111149E+03   0.110232E+03   0.917077E+00   0.744439E+00
   0.483071E+01   0.483071E+01   0.107861E+03   0.107861E+03   0.110232E+03  -0.237086E+01  -0.154558E+01
   0.494913E+01   0.494913E+01   0.111293E+03   0.111293E+03   0.110232E+03   0.106084E+01   0.600384E+00
   0.532123E+01   0.532123E+01   0.110484E+03   0.110484E+03   0.110232E+03   0.252428E+00   0.344150E+00
   0.571384E+01   0.571384E+01   0.110537E+03   0.110537E+03   0.110232E+03   0.305219E+00   0.285859E+00
   0.586631E+01   0.586631E+01   0.109003E+03   0.109003E+03   0.110232E+03  -0.122880E+01  -0.111064E+01
   0.586939E+01   0.586939E+01   0.111132E+03   0.111132E+03   0.110232E+03   0.900436E+00   0.112784E+01
   0.599848E+01   0.599848E+01   0.110417E+03   0.110417E+03   0.109705E+03   0.711907E+00   0.672455E+00
   0.601522E+01   0.601522E+01   0.106155E+03   0.106155E+03   0.109705E+03  -0.355014E+01  -0.211560E+01
   0.606736E+01   0.606736E+01   0.107693E+03   0.107693E+03   0.109705E+03  -0.201246E+01  -0.168560E+01
   0.612590E+01   0.612590E+01   0.110043E+03   0.110043E+03   0.109705E+03   0.337675E+00   0.253361E+00
   0.631820E+01   0.631820E+01   0.110455E+03   0.110455E+03   0.109705E+03   0.750446E+00   0.564068E+00
   0.689320E+01   0.689320E+01   0.109770E+03   0.109770E+03   0.109705E+03   0.654860E-01   0.814352E-01
   0.702946E+01   0.702946E+01   0.108919E+03   0.108919E+03   0.109705E+03  -0.785977E+00  -0.525262E+00
   0.709575E+01   0.709575E+01   0.109522E+03   0.109522E+03   0.109705E+03  -0.182770E+00  -0.259753E+00
   0.719324E+01   0.719324E+01   0.109804E+03   0.109804E+03   0.109705E+03   0.986759E-01   0.536731E-01
   0.726527E+01   0.726527E+01   0.110657E+03   0.110657E+03   0.109705E+03   0.952093E+00   0.669376E+00
   0.766167E+01   0.766167E+01   0.108959E+03   0.108959E+03   0.109705E+03  -0.745634E+00  -0.448792E+00
   0.776991E+01   0.776991E+01   0.106876E+03   0.106876E+03   0.109705E+03  -0.282888E+01  -0.226449E+01
   0.784956E+01   0.784956E+01   0.111107E+03   0.111107E+03   0.109705E+03   0.140243E+01   0.128293E+01
   0.809670E+01   0.809670E+01   0.109869E+03   0.109869E+03   0.109705E+03   0.163591E+00   0.125042E+00
   0.838584E+01   0.838584E+01   0.112257E+03   0.112257E+03   0.109705E+03   0.255227E+01   0.203781E+01
   0.856293E+01   0.856293E+01   0.110051E+03   0.110051E+03   0.109705E+03   0.346361E+00   0.466550E+00
   0.906840E+01   0.906840E+01   0.111940E+03   0.111940E+03   0.109705E+03   0.223541E+01   0.885731E+00
   0.959922E+01   0.959922E+01   0.107648E+03   0.107648E+03   0.109705E+03  -0.205700E+01  -0.140194E+01
   0.961000E+01   0.961000E+01   0.109058E+03   0.109058E+03   0.109705E+03  -0.646939E+00  -0.702630E+00
   0.972860E+01   0.972860E+01   0.109796E+03   0.109796E+03   0.109705E+03   0.911595E-01   0.134737E+00
   0.974787E+01   0.974787E+01   0.111863E+03   0.111863E+03   0.109705E+03   0.215795E+01   0.135580E+01
