               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.108063E+03   0.108254E+03   0.479209E+01   0.251813E-02
Maximum           0.112266E+03   0.116140E+03   0.973720E+01   0.167826E+01
Range             0.420300E+01   0.788600E+01   0.494511E+01   0.167574E+01
Mean              0.109950E+03   0.109910E+03   0.726080E+01   0.489340E+00
Median            0.109926E+03   0.109823E+03   0.719533E+01   0.451327E+00
Q10%              0.109418E+03   0.109227E+03   0.516069E+01   0.935291E-01
Q25%              0.109698E+03   0.109546E+03   0.568782E+01   0.212013E+00
Q75%              0.110149E+03   0.110112E+03   0.878341E+01   0.718306E+00
Q90%              0.110547E+03   0.110418E+03   0.948977E+01   0.949250E+00
St.Dev.           0.476017E+00   0.837201E+00   0.160898E+01   0.326904E+00
Variance          0.226592E+00   0.700906E+00   0.258882E+01   0.106866E+00
CV                0.432940E-02   0.761714E-02   0.221599E+00   0.668051E+00
Skewness          0.350333E+00   0.327496E+01   0.800465E-01   0.566956E+00
Kurtosis          0.240400E+01   0.169516E+02  -0.141380E+01  -0.270810E+00
MaxPost           0.110232E+03   0.109705E+03   0.589567E+01   0.291892E+00
