               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100582E+03   0.523868E+01
Maximum           0.110265E+03   0.118867E+02
Range             0.968300E+01   0.664802E+01
Mean              0.105497E+03   0.767717E+01
Median            0.105407E+03   0.761379E+01
Q10%              0.103855E+03   0.642897E+01
Q25%              0.104559E+03   0.691732E+01
Q75%              0.106363E+03   0.825613E+01
Q90%              0.107259E+03   0.902715E+01
St.Dev.           0.137300E+01   0.106182E+01
Variance          0.188512E+01   0.112747E+01
CV                0.130146E-01   0.138309E+00
Skewness          0.170276E+00   0.779591E+00
Kurtosis          0.638683E+00   0.103981E+01
MaxPost           0.105352E+03   0.734598E+01
