               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.801016E+02   0.295232E-03
Maximum           0.832188E+02   0.358859E+01
Range             0.311720E+01   0.358829E+01
Mean              0.815158E+02   0.592233E+00
Median            0.815236E+02   0.463601E+00
Q10%              0.808701E+02   0.816789E-01
Q25%              0.811899E+02   0.230644E+00
Q75%              0.818404E+02   0.788882E+00
Q90%              0.821760E+02   0.124384E+01
St.Dev.           0.496978E+00   0.528336E+00
Variance          0.246987E+00   0.279139E+00
CV                0.609670E-02   0.892109E+00
Skewness         -0.455605E-01   0.207242E+01
Kurtosis         -0.418641E-01   0.645896E+01
MaxPost           0.815302E+02   0.430985E-01
