"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
82.8903	97.441	5.7367	9.50388	-221.433
79.3277	94.4245	5.7367	10.9376	-223.093
81.6924	99.3438	5.64838	11.2438	-223.303
81.444	96.5979	5.61673	10.056	-221.133
80.7293	92.7002	5.70479	10.3233	-223.007
80.3528	98.7681	5.70479	9.78953	-221.875
80.2805	94.7922	5.70479	9.29121	-221.522
79.0856	96.8466	5.62757	10.059	-222.076
81.6748	98.1273	5.62757	8.0036	-223.061
81.5807	95.3826	5.55605	8.5193	-223.772
81.8177	95.5456	5.6038	9.04966	-221.106
82.0877	96.1513	5.75333	8.44647	-221.669
81.8978	97.4981	5.75455	9.93318	-221.229
82.3483	99.0079	6.7682	10.5339	-224.986
81.8843	94.8925	5.64784	8.87829	-221.458
83.6278	98.3878	6.88781	9.44567	-224.982
81.7642	96.0888	5.76707	8.84394	-221.139
82.0474	95.0561	5.19075	10.9437	-228.225
82.2479	97.5081	5.75702	10.4609	-221.716
82.188	96.7599	5.8145	9.89333	-223.295
82.023	95.6204	5.74696	9.75717	-221.106
81.195	96.6017	5.74696	8.52249	-221.48
82.5659	97.6739	6.59642	8.84011	-224.153
81.1367	93.8419	7.008	12.4224	-227.326
86.7386	92.0688	5.31988	12.2779	-231.164
80.9134	94.4905	5.71852	9.26821	-221.466
82.3479	96.5854	5.71852	11.0824	-222.379
81.8977	93.5712	6.26216	10.5856	-224.407
82.623	99.3078	6.8438	11.0185	-225.437
84.7313	97.8135	6.17493	10.4787	-224.735
85.0969	94.6186	6.70484	8.88957	-226.028
83.3078	96.0345	5.65774	10.1104	-221.778
81.899	95.2839	5.74913	10.445	-221.65
81.8502	95.8909	5.62925	10.2349	-221.333
82.6782	98.573	5.62447	10.0851	-221.957
81.3075	97.3891	5.72464	9.61844	-221.042
82.0399	96.1912	5.52895	10.211	-222.963
78.7603	96.1144	6.7062	9.84234	-225.553
83.1939	99.0672	5.71456	10.0635	-222.489
82.2504	95.9841	5.68146	10.4119	-221.564
79.0485	96.2047	5.671	10.5416	-222.439
80.5273	97.0728	6.05337	11.2593	-224.737
85.6324	99.0544	6.41947	9.73534	-226.271
82.4548	96.7978	5.89327	10.5687	-223.607
81.2854	93.8681	5.70482	8.54428	-222.461
82.1044	95.9336	5.56997	8.45762	-223.957
82.3525	95.3004	6.39192	11.3118	-224.452
81.7667	99.4351	5.91364	7.95375	-227.744
83.1409	98.3244	6.53314	8.55807	-225.133
82.0599	98.8936	5.58831	9.36286	-224.363
80.9649	94.1768	5.76218	9.2976	-221.629
81.901	89.9074	6.39696	12.0525	-228.703
82.7238	95.1166	5.49524	11.6913	-224.694
81.4523	96.332	6.15984	7.72828	-227.046
83.9494	95.8999	6.89343	8.37265	-226.431
82.8516	94.976	7.71846	10.5691	-226.857
84.3118	99.775	7.55004	9.96908	-227.272
83.1696	93.0001	6.02699	9.51371	-224.857
81.7884	96.0895	5.62619	8.449	-221.602
82.1551	97.2463	5.62619	11.3499	-222.789
81.346	92.6867	5.62413	9.13905	-222.913
81.8719	95.9983	5.62413	10.6968	-221.799
81.8144	96.0056	6.47272	9.44301	-223.399
79.7482	97.2935	5.65498	11.7293	-223.686
86.99	95.6789	5.7709	10.7515	-226.47
85.7935	95.0285	6.92253	11.1563	-226.54
81.7129	95.8751	6.12893	12.123	-225.582
87.4592	96.5364	5.20686	13.3341	-233.524
77.7074	97.5028	5.63993	8.69457	-224.58
83.2352	94.1939	5.73397	10.1022	-222.301
79.4689	95.1807	5.62222	9.93339	-221.903
83.2514	94.4029	5.69122	9.84485	-222.092
80.9479	97.1191	5.69873	9.09018	-221.078
81.0028	97.8156	5.69873	10.1321	-221.44
83.2891	93.4603	5.96033	10.735	-224.723
82.2377	95.6688	6.34814	10.5646	-223.633
85.4476	97.2422	6.57808	12.1118	-226.833
81.4686	100.543	5.61069	9.06268	-223.468
81.7505	97.46	5.95847	10.2679	-223.561
82.406	97.6319	6.54849	9.67889	-223.471
81.486	95.6698	5.49294	9.64991	-222.756
83.4164	97.7802	5.83538	10.0494	-223.765
83.166	100.263	5.74658	11.1346	-224.173
84.0527	96.2876	6.0122	9.03923	-224.334
79.2461	94.4956	5.66467	10.4021	-222.592
78.436	95.128	5.66888	9.38758	-222.85
80.8619	95.0487	5.68833	8.41687	-221.994
84.6721	91.9583	6.44516	10.0965	-226.481
81.8952	98.2287	5.69268	8.97205	-221.555
81.8185	93.7064	5.63007	9.38534	-221.911
80.5477	97.7932	5.99462	10.3011	-224.115
