               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.119961E+03   0.169743E+01
Maximum           0.126190E+03   0.651392E+01
Range             0.622900E+01   0.481649E+01
Mean              0.122911E+03   0.326029E+01
Median            0.122874E+03   0.317030E+01
Q10%              0.121674E+03   0.239298E+01
Q25%              0.122232E+03   0.267614E+01
Q75%              0.123553E+03   0.372204E+01
Q90%              0.124168E+03   0.435013E+01
St.Dev.           0.974083E+00   0.766370E+00
Variance          0.948837E+00   0.587324E+00
CV                0.792513E-02   0.235062E+00
Skewness          0.106654E+00   0.734760E+00
Kurtosis          0.390448E-01   0.716911E+00
MaxPost           0.122950E+03   0.279158E+01
