res1           Y1_gamma1      LogPost        
   0.124037E+03   0.336059E+01  -0.338461E+02
   0.124003E+03   0.183220E+01  -0.363721E+02
   0.123646E+03   0.381658E+01  -0.339485E+02
   0.123510E+03   0.280214E+01  -0.331475E+02
   0.122832E+03   0.401802E+01  -0.340055E+02
   0.123235E+03   0.293434E+01  -0.329938E+02
   0.123486E+03   0.281630E+01  -0.331273E+02
   0.122946E+03   0.221123E+01  -0.335201E+02
   0.122125E+03   0.228949E+01  -0.340579E+02
   0.122789E+03   0.405926E+01  -0.340670E+02
   0.121743E+03   0.361920E+01  -0.341044E+02
   0.122740E+03   0.294239E+01  -0.329640E+02
   0.122843E+03   0.358349E+01  -0.334439E+02
   0.122568E+03   0.352249E+01  -0.334314E+02
   0.120888E+03   0.331385E+01  -0.353590E+02
   0.123162E+03   0.261175E+01  -0.330086E+02
   0.122387E+03   0.418162E+01  -0.343320E+02
   0.123765E+03   0.366853E+01  -0.338582E+02
   0.122713E+03   0.264105E+01  -0.330014E+02
   0.124392E+03   0.330049E+01  -0.342979E+02
   0.123063E+03   0.257458E+01  -0.330062E+02
   0.120874E+03   0.524112E+01  -0.368144E+02
   0.123737E+03   0.218122E+01  -0.342275E+02
   0.123647E+03   0.277595E+01  -0.332771E+02
   0.121887E+03   0.430314E+01  -0.347586E+02
   0.124714E+03   0.451735E+01  -0.357313E+02
   0.124120E+03   0.304046E+01  -0.338415E+02
   0.122033E+03   0.274874E+01  -0.335346E+02
   0.122215E+03   0.281959E+01  -0.332899E+02
   0.123235E+03   0.288493E+01  -0.329838E+02
   0.123406E+03   0.282061E+01  -0.330701E+02
   0.121573E+03   0.539150E+01  -0.365084E+02
   0.121671E+03   0.239436E+01  -0.347201E+02
   0.121520E+03   0.336833E+01  -0.342269E+02
   0.122025E+03   0.282446E+01  -0.335077E+02
   0.124184E+03   0.247948E+01  -0.343969E+02
   0.122387E+03   0.336285E+01  -0.333584E+02
   0.122551E+03   0.256711E+01  -0.331340E+02
   0.123563E+03   0.259949E+01  -0.332822E+02
   0.123237E+03   0.259154E+01  -0.330512E+02
   0.122670E+03   0.380195E+01  -0.337342E+02
   0.122802E+03   0.262221E+01  -0.329845E+02
   0.121470E+03   0.259841E+01  -0.347534E+02
   0.122211E+03   0.228632E+01  -0.339278E+02
   0.122211E+03   0.262621E+01  -0.333977E+02
   0.123186E+03   0.316398E+01  -0.330857E+02
   0.122895E+03   0.345931E+01  -0.333057E+02
   0.122021E+03   0.402634E+01  -0.343067E+02
   0.124503E+03   0.257148E+01  -0.349774E+02
   0.125067E+03   0.333446E+01  -0.355811E+02
   0.122938E+03   0.199509E+01  -0.341788E+02
   0.123565E+03   0.301788E+01  -0.332139E+02
   0.124247E+03   0.271776E+01  -0.341961E+02
   0.123695E+03   0.411969E+01  -0.343694E+02
   0.123550E+03   0.233956E+01  -0.335980E+02
   0.122859E+03   0.398931E+01  -0.339640E+02
   0.123768E+03   0.343236E+01  -0.336322E+02
   0.121772E+03   0.343236E+01  -0.339337E+02
   0.121567E+03   0.342497E+01  -0.341857E+02
   0.122247E+03   0.263619E+01  -0.333488E+02
   0.123424E+03   0.314665E+01  -0.331775E+02
   0.123209E+03   0.319137E+01  -0.331115E+02
   0.122777E+03   0.465249E+01  -0.349634E+02
   0.123960E+03   0.315263E+01  -0.336529E+02
   0.123556E+03   0.249031E+01  -0.333802E+02
   0.121667E+03   0.333250E+01  -0.340105E+02
   0.122776E+03   0.328156E+01  -0.331499E+02
   0.122412E+03   0.252803E+01  -0.332809E+02
   0.123468E+03   0.225390E+01  -0.336829E+02
   0.122764E+03   0.258752E+01  -0.330159E+02
   0.124442E+03   0.378435E+01  -0.346571E+02
   0.123001E+03   0.251964E+01  -0.330412E+02
   0.122241E+03   0.322130E+01  -0.333520E+02
   0.123161E+03   0.375693E+01  -0.336774E+02
   0.120714E+03   0.408669E+01  -0.358345E+02
   0.122256E+03   0.265516E+01  -0.333245E+02
   0.123368E+03   0.339763E+01  -0.333431E+02
   0.123482E+03   0.375225E+01  -0.337818E+02
   0.123425E+03   0.367971E+01  -0.336685E+02
   0.123022E+03   0.354346E+01  -0.334009E+02
   0.122718E+03   0.339784E+01  -0.332648E+02
