               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.973698E+02   0.951822E+02   0.462926E+01   0.181247E-02
Maximum           0.102276E+03   0.101484E+03   0.576343E+01   0.167780E+01
Range             0.490620E+01   0.630180E+01   0.113417E+01   0.167599E+01
Mean              0.995617E+02   0.100444E+03   0.505571E+01   0.382054E+00
Median            0.995498E+02   0.100514E+03   0.500884E+01   0.296729E+00
Q10%              0.987146E+02   0.100041E+03   0.476864E+01   0.614489E-01
Q25%              0.990754E+02   0.100263E+03   0.486403E+01   0.150137E+00
Q75%              0.100071E+03   0.100727E+03   0.517245E+01   0.570836E+00
Q90%              0.100427E+03   0.100905E+03   0.544571E+01   0.767502E+00
St.Dev.           0.704735E+00   0.520980E+00   0.257509E+00   0.295577E+00
Variance          0.496651E+00   0.271420E+00   0.663109E-01   0.873658E-01
CV                0.707837E-02   0.518675E-02   0.509343E-01   0.773652E+00
Skewness          0.489702E-01  -0.352205E+01   0.966175E+00   0.105558E+01
Kurtosis          0.278834E+00   0.253855E+02   0.667458E+00   0.118178E+01
MaxPost           0.995084E+02   0.100597E+03   0.476665E+01   0.198154E+00
