               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.115535E+03   0.628685E-03
Maximum           0.116806E+03   0.111518E+01
Range             0.127100E+01   0.111455E+01
Mean              0.116167E+03   0.260285E+00
Median            0.116164E+03   0.222530E+00
Q10%              0.115871E+03   0.382685E-01
Q25%              0.116004E+03   0.967859E-01
Q75%              0.116332E+03   0.374039E+00
Q90%              0.116499E+03   0.539213E+00
St.Dev.           0.236710E+00   0.201935E+00
Variance          0.560318E-01   0.407777E-01
CV                0.203767E-02   0.775822E+00
Skewness          0.329603E-01   0.103886E+01
Kurtosis         -0.270330E+00   0.100724E+01
MaxPost           0.116164E+03   0.254113E-01
