res1           Y1_gamma1      LogPost        
   0.101516E+03   0.195012E+01  -0.286167E+02
   0.101703E+03   0.817933E+00  -0.260559E+02
   0.101844E+03   0.281887E+00  -0.259203E+02
   0.101971E+03   0.157257E+01  -0.278233E+02
   0.101849E+03   0.609934E+00  -0.260352E+02
   0.102379E+03   0.149139E+01  -0.284304E+02
   0.102303E+03   0.910217E+00  -0.275852E+02
   0.102183E+03   0.833148E+00  -0.271062E+02
   0.100825E+03   0.148936E+01  -0.282258E+02
   0.101899E+03   0.309748E+00  -0.260423E+02
   0.102001E+03   0.125525E+01  -0.271841E+02
   0.101487E+03   0.132365E+01  -0.269669E+02
   0.101240E+03   0.162888E-01  -0.267077E+02
   0.101472E+03   0.525448E+00  -0.257852E+02
   0.101392E+03   0.383082E+00  -0.259105E+02
   0.101521E+03   0.136022E+01  -0.270470E+02
   0.102239E+03   0.738739E-01  -0.274900E+02
   0.101679E+03   0.226631E+00  -0.257313E+02
   0.102151E+03   0.822166E+00  -0.269885E+02
   0.101185E+03   0.131817E+01  -0.271968E+02
   0.101567E+03   0.185458E+00  -0.257685E+02
   0.102194E+03   0.785639E+00  -0.271208E+02
   0.101872E+03   0.799404E+00  -0.262518E+02
   0.101177E+03   0.190248E+01  -0.286669E+02
   0.102079E+03   0.366854E+00  -0.266283E+02
   0.101593E+03   0.258894E+00  -0.257256E+02
   0.101913E+03   0.417387E+00  -0.260900E+02
   0.101074E+03   0.819619E+00  -0.266677E+02
   0.101546E+03   0.808544E+00  -0.259864E+02
   0.101318E+03   0.143546E+01  -0.273244E+02
   0.102142E+03   0.193216E+00  -0.269372E+02
   0.101183E+03   0.146225E+01  -0.275255E+02
   0.101995E+03   0.817372E+00  -0.265331E+02
   0.101138E+03   0.115080E+01  -0.269377E+02
   0.101800E+03   0.148532E+00  -0.258526E+02
   0.102010E+03   0.584445E+00  -0.264164E+02
   0.101475E+03   0.142708E+00  -0.259105E+02
   0.101222E+03   0.607454E+00  -0.262197E+02
   0.101609E+03   0.151789E+01  -0.274387E+02
   0.102582E+03   0.133640E+00  -0.301048E+02
   0.101259E+03   0.124824E-01  -0.266243E+02
   0.102188E+03   0.119382E+01  -0.274807E+02
   0.101356E+03   0.118049E+01  -0.267177E+02
   0.101507E+03   0.314357E+00  -0.257702E+02
   0.101572E+03   0.333001E+00  -0.257155E+02
   0.102228E+03   0.181693E+00  -0.274007E+02
   0.101504E+03   0.704367E+00  -0.258771E+02
   0.101577E+03   0.108636E+01  -0.264470E+02
   0.100279E+03   0.955284E+00  -0.302675E+02
   0.101092E+03   0.879761E+00  -0.266639E+02
   0.100733E+03   0.154361E+01  -0.285549E+02
   0.101998E+03   0.851977E+00  -0.265770E+02
   0.100914E+03   0.912465E+00  -0.272069E+02
   0.101110E+03   0.186456E+01  -0.286327E+02
   0.100931E+03   0.590848E+00  -0.272527E+02
   0.102304E+03   0.780578E+00  -0.275616E+02
   0.101527E+03   0.115166E+01  -0.265789E+02
   0.101656E+03   0.842220E+00  -0.260576E+02
   0.101471E+03   0.578520E+00  -0.258049E+02
   0.102343E+03   0.394719E+00  -0.279628E+02
   0.101972E+03   0.180662E+00  -0.262549E+02
   0.101456E+03   0.797460E+00  -0.260033E+02
   0.101548E+03   0.320132E+00  -0.257324E+02
   0.101666E+03   0.304603E+00  -0.257144E+02
   0.102106E+03   0.156943E+01  -0.280080E+02
   0.101998E+03   0.105992E+01  -0.268437E+02
   0.101672E+03   0.164377E+01  -0.277804E+02
   0.101959E+03   0.484674E+00  -0.262308E+02
   0.101935E+03   0.588946E+00  -0.262100E+02
   0.101789E+03   0.809649E+00  -0.261367E+02
   0.101865E+03   0.883053E+00  -0.263436E+02
   0.100970E+03   0.538464E+00  -0.271496E+02
   0.101704E+03   0.122943E+01  -0.267880E+02
   0.101897E+03   0.137049E+01  -0.272712E+02
   0.102907E+03   0.150373E+01  -0.302449E+02
   0.101246E+03   0.809963E-01  -0.266536E+02
   0.102188E+03   0.566083E+00  -0.270669E+02
   0.102004E+03   0.873544E+00  -0.266134E+02
   0.101395E+03   0.975587E+00  -0.263030E+02
   0.101375E+03   0.433982E+00  -0.259207E+02
   0.102053E+03   0.461754E+00  -0.265286E+02
   0.101818E+03   0.470817E+00  -0.259049E+02
   0.100908E+03   0.817569E+00  -0.272009E+02
   0.101641E+03   0.112553E+01  -0.265406E+02
   0.100394E+03   0.167094E+01  -0.297497E+02
   0.103279E+03   0.229004E+01  -0.321747E+02
   0.101632E+03   0.768630E+00  -0.259494E+02
   0.101314E+03   0.374900E+00  -0.260920E+02
   0.101597E+03   0.497458E+00  -0.257220E+02
   0.102082E+03   0.951746E+00  -0.268970E+02
   0.101494E+03   0.114113E+01  -0.265632E+02
   0.102258E+03   0.766633E+00  -0.273667E+02
   0.101720E+03   0.847278E+00  -0.261104E+02
   0.101142E+03   0.274161E+00  -0.268417E+02
   0.101582E+03   0.515424E+00  -0.257291E+02
   0.101845E+03   0.809090E+00  -0.262175E+02
   0.101860E+03   0.207297E+00  -0.259541E+02
   0.101612E+03   0.103995E+01  -0.263650E+02
   0.101527E+03   0.106329E+01  -0.264027E+02
   0.101831E+03   0.263747E+00  -0.258960E+02
   0.101632E+03   0.875311E-01  -0.257625E+02
   0.101801E+03   0.875311E-01  -0.258602E+02
   0.101232E+03   0.577560E+00  -0.261977E+02
   0.101111E+03   0.217786E+00  -0.271028E+02
   0.102222E+03   0.773321E+00  -0.272238E+02
   0.101539E+03   0.568139E+00  -0.257622E+02
   0.101334E+03   0.476937E+00  -0.259859E+02
   0.101138E+03   0.120167E+01  -0.270315E+02
   0.101851E+03   0.152524E+01  -0.275832E+02
   0.100955E+03   0.169779E+00  -0.281572E+02
   0.101916E+03   0.109485E+01  -0.267521E+02
   0.101628E+03   0.636147E+00  -0.258116E+02
   0.101861E+03   0.360984E+00  -0.259594E+02
   0.102047E+03   0.186889E+01  -0.286487E+02
   0.101731E+03   0.164320E+01  -0.278010E+02
   0.101756E+03   0.903972E+00  -0.262279E+02
   0.101540E+03   0.903972E+00  -0.261240E+02
   0.101170E+03   0.540166E+00  -0.263843E+02
   0.102005E+03   0.430056E+00  -0.263617E+02
   0.101159E+03   0.818313E+00  -0.264550E+02
   0.102139E+03   0.152143E+01  -0.279611E+02
   0.101108E+03   0.123897E+01  -0.271528E+02
   0.102743E+03   0.975030E+00  -0.297015E+02
   0.101724E+03   0.509335E+00  -0.257923E+02
   0.100975E+03   0.127473E+01  -0.274821E+02
   0.101263E+03   0.712132E+00  -0.261634E+02
   0.101935E+03   0.426546E+00  -0.261508E+02
   0.102150E+03   0.408060E-01  -0.270010E+02
   0.101978E+03   0.241934E+00  -0.262671E+02
   0.101435E+03   0.471612E+00  -0.258188E+02
   0.101757E+03   0.156115E+01  -0.276030E+02
   0.101158E+03   0.801233E+00  -0.264427E+02
   0.101618E+03   0.243717E+00  -0.257225E+02
   0.101564E+03   0.328485E+00  -0.257203E+02
   0.101052E+03   0.405628E-01  -0.277142E+02
   0.101306E+03   0.967547E-01  -0.264022E+02
   0.101460E+03   0.373712E+00  -0.258047E+02
   0.101399E+03   0.300885E+00  -0.259490E+02
   0.101610E+03   0.756799E+00  -0.259278E+02
   0.102018E+03   0.966663E+00  -0.267558E+02
   0.101199E+03   0.149312E+01  -0.275810E+02
   0.101276E+03   0.206356E+00  -0.263984E+02
   0.101656E+03   0.610749E+00  -0.258036E+02
   0.100707E+03   0.143527E+01  -0.284334E+02
   0.101715E+03   0.564441E+00  -0.258147E+02
   0.101269E+03   0.932950E+00  -0.263783E+02
