               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100279E+03   0.691855E-02
Maximum           0.103279E+03   0.275625E+01
Range             0.300000E+01   0.274933E+01
Mean              0.101586E+03   0.763561E+00
Median            0.101578E+03   0.715966E+00
Q10%              0.100975E+03   0.170675E+00
Q25%              0.101304E+03   0.371865E+00
Q75%              0.101897E+03   0.106946E+01
Q90%              0.102138E+03   0.148527E+01
St.Dev.           0.452375E+00   0.486646E+00
Variance          0.204643E+00   0.236824E+00
CV                0.445313E-02   0.637337E+00
Skewness          0.158822E-01   0.630753E+00
Kurtosis          0.479493E+00   0.120135E-01
MaxPost           0.101610E+03   0.363562E+00
