               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.828722E+02   0.945070E+01
Maximum           0.919717E+02   0.164721E+02
Range             0.909950E+01   0.702140E+01
Mean              0.877620E+02   0.122634E+02
Median            0.877569E+02   0.122150E+02
Q10%              0.857857E+02   0.108283E+02
Q25%              0.867527E+02   0.115288E+02
Q75%              0.888406E+02   0.129253E+02
Q90%              0.897019E+02   0.137275E+02
St.Dev.           0.154601E+01   0.110624E+01
Variance          0.239013E+01   0.122378E+01
CV                0.176159E-01   0.902072E-01
Skewness         -0.656267E-01   0.258037E+00
Kurtosis         -0.550314E-01   0.141663E+00
MaxPost           0.875307E+02   0.119242E+02
