               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.642534E+02   0.597716E+02   0.316420E+01   0.360656E-03
Maximum           0.802042E+02   0.700171E+02   0.379755E+01   0.950498E+01
Range             0.159508E+02   0.102455E+02   0.633350E+00   0.950462E+01
Mean              0.726350E+02   0.650575E+02   0.330707E+01   0.101362E+01
Median            0.726801E+02   0.651014E+02   0.329286E+01   0.674745E+00
Q10%              0.698690E+02   0.641585E+02   0.319215E+01   0.124227E+00
Q25%              0.713484E+02   0.646217E+02   0.322346E+01   0.316468E+00
Q75%              0.740456E+02   0.655532E+02   0.334329E+01   0.133164E+01
Q90%              0.755484E+02   0.659300E+02   0.345343E+01   0.230607E+01
St.Dev.           0.227972E+01   0.804107E+00   0.117486E+00   0.109930E+01
Variance          0.519711E+01   0.646588E+00   0.138029E-01   0.120847E+01
CV                0.313859E-01   0.123599E-01   0.355256E-01   0.108453E+01
Skewness         -0.294961E+00  -0.621039E+00   0.173972E+01   0.286054E+01
Kurtosis          0.909420E+00   0.698408E+01   0.330141E+01   0.132554E+02
MaxPost           0.727302E+02   0.651849E+02   0.335660E+01   0.552488E-01
