               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.105978E+03   0.112218E+03   0.640026E+01   0.192969E-02
Maximum           0.123296E+03   0.120754E+03   0.852092E+01   0.898663E+01
Range             0.173180E+02   0.853600E+01   0.212066E+01   0.898470E+01
Mean              0.117524E+03   0.117008E+03   0.754316E+01   0.754044E+00
Median            0.117588E+03   0.117034E+03   0.761251E+01   0.590912E+00
Q10%              0.116538E+03   0.115922E+03   0.660346E+01   0.807283E-01
Q25%              0.117030E+03   0.116455E+03   0.696930E+01   0.282841E+00
Q75%              0.118041E+03   0.117608E+03   0.813813E+01   0.103963E+01
Q90%              0.118550E+03   0.118185E+03   0.835938E+01   0.157716E+01
St.Dev.           0.101488E+01   0.100298E+01   0.641216E+00   0.759854E+00
Variance          0.102999E+01   0.100598E+01   0.411158E+00   0.577378E+00
CV                0.863553E-02   0.857193E-02   0.850062E-01   0.100771E+01
Skewness         -0.259614E+01  -0.376432E+00  -0.198583E+00   0.397152E+01
Kurtosis          0.356881E+02   0.204261E+01  -0.124645E+01   0.317741E+02
MaxPost           0.117675E+03   0.116273E+03   0.824869E+01   0.220640E-01
