               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.627431E+02   0.590312E-02
Maximum           0.127634E+03   0.860349E+02
Range             0.648909E+02   0.860290E+02
Mean              0.103273E+03   0.538398E+01
Median            0.103660E+03   0.227933E+01
Q10%              0.100201E+03   0.320618E+00
Q25%              0.102573E+03   0.957395E+00
Q75%              0.104650E+03   0.576696E+01
Q90%              0.106141E+03   0.119836E+02
St.Dev.           0.501900E+01   0.957787E+01
Variance          0.251904E+02   0.917356E+02
CV                0.485994E-01   0.177896E+01
Skewness         -0.247754E+01   0.428162E+01
Kurtosis          0.212197E+02   0.229624E+02
MaxPost           0.103334E+03   0.250037E-01
