"loglikelihood"	"logprio"	"logposterior"
-4.68960981401191	-4.60517018598809	-9.29478
-8.15582981401191	-4.60517018598809	-12.761
-1.74118981401191	-4.60517018598809	-6.34636
-1.62587981401191	-4.60517018598809	-6.23105
-0.840309814011908	-4.60517018598809	-5.44548
-2.36173981401191	-4.60517018598809	-6.96691
-0.737689814011908	-4.60517018598809	-5.34286
-2.59851981401191	-4.60517018598809	-7.20369
-3.61095981401191	-4.60517018598809	-8.21613
-0.522779814011908	-4.60517018598809	-5.12795
-1.11808981401191	-4.60517018598809	-5.72326
-0.691749814011908	-4.60517018598809	-5.29692
-2.05219981401191	-4.60517018598809	-6.65737
-3.97793981401191	-4.60517018598809	-8.58311
-0.517129814011908	-4.60517018598809	-5.1223
-1.89119981401191	-4.60517018598809	-6.49637
-4.45390981401191	-4.60517018598809	-9.05908
-6.93752981401191	-4.60517018598809	-11.5427
-7.20612981401191	-4.60517018598809	-11.8113
-2.60393981401191	-4.60517018598809	-7.20911
-1.76095981401191	-4.60517018598809	-6.36613
-1.43634981401191	-4.60517018598809	-6.04152
-4.35805981401191	-4.60517018598809	-8.96323
-3.52269981401191	-4.60517018598809	-8.12787
-4.89837981401191	-4.60517018598809	-9.50355
-1.88398981401191	-4.60517018598809	-6.48916
-1.99251981401191	-4.60517018598809	-6.59769
-3.01624981401191	-4.60517018598809	-7.62142
-3.98367981401191	-4.60517018598809	-8.58885
-1.94893981401191	-4.60517018598809	-6.55411
-5.15531981401191	-4.60517018598809	-9.76049
-3.18839981401191	-4.60517018598809	-7.79357
-1.82693981401191	-4.60517018598809	-6.43211
-4.16728981401191	-4.60517018598809	-8.77246
-8.34792981401191	-4.60517018598809	-12.9531
-4.09835981401191	-4.60517018598809	-8.70353
-1.32859981401191	-4.60517018598809	-5.93377
-0.894529814011908	-4.60517018598809	-5.4997
-2.18120981401191	-4.60517018598809	-6.78638
-5.94722981401191	-4.60517018598809	-10.5524
-5.56562981401191	-4.60517018598809	-10.1708
-1.34368981401191	-4.60517018598809	-5.94886
-2.03351981401191	-4.60517018598809	-6.63869
-2.27872981401191	-4.60517018598809	-6.8839
-2.47252981401191	-4.60517018598809	-7.0777
-1.35678981401191	-4.60517018598809	-5.96196
-3.97417981401191	-4.60517018598809	-8.57935
-0.719849814011909	-4.60517018598809	-5.32502
-3.97077981401191	-4.60517018598809	-8.57595
-1.36918981401191	-4.60517018598809	-5.97436
-1.36476981401191	-4.60517018598809	-5.96994
-0.884259814011908	-4.60517018598809	-5.48943
-0.718539814011908	-4.60517018598809	-5.32371
-1.03986981401191	-4.60517018598809	-5.64504
-6.65632981401191	-4.60517018598809	-11.2615
-6.26552981401191	-4.60517018598809	-10.8707
-2.75274981401191	-4.60517018598809	-7.35792
-2.66849981401191	-4.60517018598809	-7.27367
-0.772999814011908	-4.60517018598809	-5.37817
-1.17294981401191	-4.60517018598809	-5.77812
-0.684239814011908	-4.60517018598809	-5.28941
-0.609139814011908	-4.60517018598809	-5.21431
-2.20647981401191	-4.60517018598809	-6.81165
-2.07702981401191	-4.60517018598809	-6.6822
-1.88087981401191	-4.60517018598809	-6.48605
-1.63741981401191	-4.60517018598809	-6.24259
-2.61694981401191	-4.60517018598809	-7.22212
-4.80313981401191	-4.60517018598809	-9.40831
-3.13672981401191	-4.60517018598809	-7.7419
-1.14675981401191	-4.60517018598809	-5.75193
-1.13509981401191	-4.60517018598809	-5.74027
-1.71641981401191	-4.60517018598809	-6.32159
-2.17157981401191	-4.60517018598809	-6.77675
-2.84331981401191	-4.60517018598809	-7.44849
-0.469719814011908	-4.60517018598809	-5.07489
-0.469719814011908	-4.60517018598809	-5.07489
-0.627629814011908	-4.60517018598809	-5.2328
-1.18693981401191	-4.60517018598809	-5.79211
-1.44604981401191	-4.60517018598809	-6.05122
-1.44513981401191	-4.60517018598809	-6.05031
-2.90683981401191	-4.60517018598809	-7.51201
-2.14086981401191	-4.60517018598809	-6.74604
-3.97270981401191	-4.60517018598809	-8.57788
-1.26611981401191	-4.60517018598809	-5.87129
-1.67098981401191	-4.60517018598809	-6.27616
-1.53682981401191	-4.60517018598809	-6.142
-0.616609814011908	-4.60517018598809	-5.22178
-2.98315981401191	-4.60517018598809	-7.58833
-2.25154981401191	-4.60517018598809	-6.85672
-1.75453981401191	-4.60517018598809	-6.35971
-0.949899814011908	-4.60517018598809	-5.55507
-1.45946981401191	-4.60517018598809	-6.06464
-0.776049814011908	-4.60517018598809	-5.38122
-1.26524981401191	-4.60517018598809	-5.87042
-1.37624981401191	-4.60517018598809	-5.98142
-0.451829814011909	-4.60517018598809	-5.057
-3.07159981401191	-4.60517018598809	-7.67677
-3.91981981401191	-4.60517018598809	-8.52499
