               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.999998E+02   0.213968E+01
Maximum           0.101697E+03   0.357146E+01
Range             0.169720E+01   0.143178E+01
Mean              0.100931E+03   0.265317E+01
Median            0.100923E+03   0.263830E+01
Q10%              0.100553E+03   0.239678E+01
Q25%              0.100720E+03   0.249904E+01
Q75%              0.101135E+03   0.278822E+01
Q90%              0.101307E+03   0.293450E+01
St.Dev.           0.288272E+00   0.210579E+00
Variance          0.831007E-01   0.443433E-01
CV                0.285612E-02   0.793685E-01
Skewness          0.130949E-01   0.358515E+00
Kurtosis         -0.318645E+00   0.282189E+00
MaxPost           0.100927E+03   0.261212E+01
