               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.106199E+03   0.103059E+03   0.887502E+01   0.130674E-03
Maximum           0.110295E+03   0.112547E+03   0.999207E+01   0.340519E+01
Range             0.409600E+01   0.948800E+01   0.111705E+01   0.340506E+01
Mean              0.108531E+03   0.108089E+03   0.949299E+01   0.590552E+00
Median            0.108532E+03   0.108005E+03   0.952741E+01   0.470795E+00
Q10%              0.107909E+03   0.107133E+03   0.904629E+01   0.589517E-01
Q25%              0.108239E+03   0.107556E+03   0.921102E+01   0.229440E+00
Q75%              0.108850E+03   0.108549E+03   0.977007E+01   0.808730E+00
Q90%              0.109180E+03   0.109222E+03   0.989471E+01   0.120697E+01
St.Dev.           0.533815E+00   0.985176E+00   0.315187E+00   0.524277E+00
Variance          0.284959E+00   0.970572E+00   0.993429E-01   0.274866E+00
CV                0.491856E-02   0.911445E-02   0.332021E-01   0.887774E+00
Skewness         -0.407856E+00   0.356170E+00  -0.221509E+00   0.183823E+01
Kurtosis          0.181514E+01   0.381718E+01  -0.113399E+01   0.487489E+01
MaxPost           0.108566E+03   0.107633E+03   0.960243E+01   0.107764E-01
