"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
95.0633	100.192	4.60331	0.867398	-70.8101
95.0996	100.545	4.5856	0.44896	-71.7839
95.073	100.765	4.60204	0.772545	-71.7011
94.7628	99.9841	4.57723	0.377133	-71.8538
95.4781	100.827	4.55086	1.15355	-72.9717
94.6214	99.6569	4.57921	0.563439	-73.3805
94.2447	100.669	4.62104	0.674429	-71.4139
94.6721	100.009	4.56325	1.66073	-73.0289
94.7504	100.292	4.56325	0.995261	-70.3999
94.4384	100.045	4.55769	1.32244	-71.6335
93.9099	99.8901	4.60578	0.753943	-72.9656
94.2471	100.018	4.57906	1.30347	-71.9113
94.5178	100.128	4.57906	0.937952	-70.5594
94.6962	100.473	4.58368	1.64012	-72.7129
94.8712	99.937	4.62672	0.936849	-71.1042
94.9329	100.647	4.6049	1.19788	-71.2649
94.2817	100.373	4.55399	0.193705	-71.5149
95.8009	100.43	4.55399	1.02491	-73.6681
94.609	100.591	4.55399	0.649633	-70.6953
94.6	100.156	4.54183	1.06662	-70.6403
94.0283	99.8285	4.62013	0.0785165	-74.8688
94.4748	100.704	4.56471	0.730483	-71.059
95.256	99.9179	4.54694	1.79195	-74.2742
94.5589	100.357	4.56039	0.601654	-70.4118
94.2453	100.357	4.54422	0.528033	-71.0038
94.7592	100.827	4.59958	0.350141	-72.6931
94.8856	101.076	4.54488	0.708773	-73.3918
95.6814	100.897	4.59043	0.895929	-74.5395
94.306	99.9576	4.59043	1.21314	-71.6793
94.5164	99.9812	4.58076	0.623337	-71.1727
94.5991	100.49	4.57936	1.29261	-71.2169
94.8958	100.134	4.62723	1.17087	-70.9797
94.724	100.732	4.54513	0.850342	-70.9863
94.9366	100.621	4.58932	1.01117	-70.8934
94.0202	100.62	4.57655	1.58801	-73.4468
94.594	99.7673	4.56721	0.577557	-72.4644
94.0052	100.747	4.54547	0.968152	-72.2207
95.2492	100.754	4.58144	1.13937	-72.0072
94.905	100.412	4.58144	0.519082	-70.8334
94.8278	100.273	4.62865	0.0237374	-71.5787
94.6064	99.8601	4.61947	0.683004	-71.5822
95.3508	100.226	4.54902	0.859655	-71.664
95.1049	99.913	4.54902	0.988948	-71.5833
94.2786	100.023	4.58506	0.791355	-71.159
94.8985	100.023	4.59083	0.507961	-71.4853
94.7854	100.29	4.55074	0.386104	-70.9198
93.8769	99.7559	4.60125	1.20819	-73.4726
94.425	99.9089	4.54852	0.372794	-72.3418
94.8128	100.558	4.59444	0.684381	-70.654
95.0861	100.652	4.61612	1.42485	-72.1719
95.702	100.614	4.61709	0.860241	-73.6867
95.1147	100.576	4.56682	1.291	-71.6497
94.4953	100.084	4.59749	1.45919	-72.0515
94.1464	100.106	4.55896	0.879487	-71.2605
95.1571	100.106	4.61142	0.593024	-71.668
95.1219	100.916	4.61142	1.25241	-72.428
94.5912	100.701	4.58112	0.383991	-71.7134
94.0751	100.132	4.57192	1.39148	-72.4208
94.5155	100.241	4.5453	0.495779	-70.6718
94.2373	100.568	4.60185	0.121427	-72.1209
93.9308	100.641	4.62328	0.876227	-72.1929
94.3585	100.38	4.62328	1.26598	-71.2922
94.8064	100.38	4.59155	0.885557	-70.3297
95.0687	101.087	4.57915	1.30337	-73.1294
94.8158	99.9142	4.55464	0.886731	-71.1405
95.2793	100.556	4.59159	0.448876	-72.5631
94.1161	99.8281	4.58541	0.429089	-73.4716
94.1156	100.323	4.58541	0.415672	-71.6179
94.9672	100.342	4.55133	0.431084	-71.148
94.6833	100.116	4.60363	0.54193	-70.823
94.9391	100.096	4.54476	0.674151	-70.9277
94.739	100.282	4.56403	0.777362	-70.2855
95.0044	100.587	4.56403	1.07246	-70.9972
95.1034	100.587	4.59922	0.772379	-71.1722
95.0999	100.812	4.55371	1.19794	-71.9373
94.5815	100.463	4.56564	1.17201	-70.8289
94.6753	100.109	4.56564	0.849233	-70.4959
94.5404	100.148	4.60193	0.0742458	-71.6277
94.275	100.655	4.54642	0.178995	-72.3371
95.0553	100.368	4.54894	0.817141	-70.7117
94.4087	100.51	4.55342	0.570722	-70.7763
94.0918	100.727	4.56004	0.750777	-71.9851
94.8977	100.634	4.56917	0.623291	-71.0968
94.4242	100.541	4.55633	0.70029	-70.6561
94.4242	100.26	4.55633	1.06677	-70.6883
94.4149	100.304	4.55633	0.540066	-70.648
94.6656	100.148	4.54209	1.03719	-70.5835
95.0572	100.856	4.60538	1.03719	-71.8442
94.839	100.884	4.60716	1.22944	-71.9189
94.3802	100.072	4.57012	0.752374	-70.8457
94.7369	100.002	4.55558	0.583508	-71.1618
94.7197	99.6959	4.56138	1.00813	-72.0435
93.9413	100.735	4.59914	0.975679	-72.4193
94.6624	99.5959	4.60907	1.16144	-72.609
94.8552	99.9396	4.62377	0.903478	-71.0795
94.3726	100.255	4.59439	0.559789	-70.7234
94.7513	100.418	4.61483	0.527328	-70.6028
94.4203	100.994	4.61483	0.0550086	-75.0116
95.243	100.404	4.55443	0.961648	-71.2172
94.0748	100.444	4.55394	0.0796502	-72.3813
94.9249	100.209	4.57434	0.837709	-70.5287
93.4376	100.234	4.62729	2.02647	-77.2061
94.5209	100.887	4.54924	1.26945	-72.0494
95.2473	100.07	4.55523	1.26128	-71.8875
94.3927	100.709	4.58797	0.699892	-71.2244
94.7582	100.707	4.57444	0.799378	-70.943
94.3021	100.237	4.56841	1.10674	-70.9784
94.3021	100.62	4.54482	0.76484	-71.021
94.1089	100.532	4.54482	1.14165	-71.5968
94.0961	100.28	4.55251	0.0146003	-72.2862
94.9969	100.677	4.62011	0.887686	-71.0923
94.0138	100.154	4.61332	0.915685	-71.611
94.8777	100.705	4.60274	1.12345	-71.1885
94.9288	100.371	4.55965	1.7496	-73.3306
94.5661	99.8366	4.616	0.671372	-71.7523
95.1242	100.855	4.60139	0.957119	-71.9961
95.4637	100.885	4.60139	1.21408	-73.1624
94.0304	100.448	4.62694	0.951195	-71.4768
94.3985	100.448	4.62694	1.05073	-70.7168
94.6931	100.446	4.56444	0.518106	-70.6114
94.3651	101.067	4.62338	1.1352	-72.7777
94.3658	100.333	4.62338	0.668402	-70.5549
95.2666	99.6616	4.55863	1.52433	-73.7608
94.8887	100.578	4.56662	0.629158	-70.8959
94.6204	100.093	4.58773	0.578398	-70.8079
95.0881	100.696	4.61355	0.958296	-71.3277
94.4048	99.6378	4.60969	0.771407	-72.9259
93.9919	100.804	4.60969	0.853121	-72.5458
95.569	100.321	4.56166	1.40795	-73.0056
94.7641	100.545	4.61207	0.583294	-70.7322
94.7641	100.232	4.62134	0.520446	-70.6701
94.5195	100.506	4.62134	0.460191	-70.8463
94.3698	100.891	4.62134	1.15403	-72.0002
94.3376	100.63	4.59616	1.48092	-72.3736
94.9263	99.8885	4.61249	1.184	-71.5806
94.7972	100.073	4.574	0.715727	-70.7285
94.7224	100.059	4.5971	1.07401	-70.8061
94.6903	99.8988	4.5971	1.08002	-71.2408
94.5535	99.9109	4.62001	1.42739	-72.192
94.941	99.6764	4.59445	1.10703	-72.3214
94.127	100.238	4.55003	0.724439	-71.1615
95.0936	100.081	4.5918	1.20286	-71.4092
95.3568	99.3839	4.55479	1.50425	-75.0293
94.1677	100.588	4.59805	0.987795	-71.298
94.9627	99.8815	4.59106	0.681	-71.8001
95.2706	99.7181	4.55983	1.09613	-72.7936
94.3632	100.622	4.60343	1.60748	-72.9111
94.4305	100.499	4.54222	1.22132	-71.133
95.5589	100.366	4.59843	1.06417	-72.4029
94.5855	100.259	4.59965	0.65929	-70.3692
95.5282	100.63	4.55346	1.71382	-74.2494
94.7429	100.151	4.5759	1.04125	-70.5948
94.8377	100.851	4.54948	1.21534	-71.7752
94.6431	100.153	4.61794	0.612112	-70.5893
94.8041	100.606	4.54667	0.961282	-70.6787
95.505	99.5787	4.56222	1.42738	-74.4102
93.3683	100.371	4.56222	1.2995	-74.9208
94.6605	100.371	4.56044	0.264833	-71.0385
94.2853	100.183	4.56216	0.0649758	-71.8722
94.7936	100.071	4.55694	1.13998	-70.9369
95.1364	100.669	4.61632	0.455517	-72.3517
95.2042	99.8848	4.6245	0.865438	-72.0357
94.5422	100.063	4.57481	0.647357	-70.8098
95.0579	100.214	4.57481	0.283935	-71.9398
94.259	100.356	4.60515	1.32773	-71.6666
93.8682	100.684	4.58852	0.852149	-72.6097
93.9193	99.8387	4.62207	0.574213	-73.6999
94.5267	100.671	4.62207	0.795899	-70.8383
93.9655	100.582	4.55558	1.19239	-72.2141
94.7703	99.9456	4.54736	0.978017	-71.0097
94.756	101.176	4.60788	0.826604	-73.6298
94.3426	99.7696	4.61944	1.09217	-72.0229
95.3313	100.459	4.6056	1.25696	-71.9142
94.2949	100.417	4.62576	1.01472	-70.8092
94.773	100.761	4.62576	1.27791	-71.635
93.9758	100.253	4.54731	1.48828	-72.9629
