               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.100047E+03   0.751889E+02   0.758385E+01   0.336291E+01
Maximum           0.107923E+03   0.898896E+02   0.959416E+01   0.859691E+01
Range             0.787600E+01   0.147007E+02   0.201031E+01   0.523400E+01
Mean              0.104164E+03   0.837659E+02   0.785673E+01   0.516978E+01
Median            0.104221E+03   0.838849E+02   0.783983E+01   0.512174E+01
Q10%              0.102785E+03   0.807433E+02   0.763392E+01   0.421651E+01
Q25%              0.103404E+03   0.819750E+02   0.771565E+01   0.462113E+01
Q75%              0.104922E+03   0.854879E+02   0.798067E+01   0.560085E+01
Q90%              0.105579E+03   0.868368E+02   0.805802E+01   0.623179E+01
St.Dev.           0.114012E+01   0.245795E+01   0.191841E+00   0.804946E+00
Variance          0.129988E+01   0.604151E+01   0.368028E-01   0.647939E+00
CV                0.109455E-01   0.293431E-01   0.244173E-01   0.155702E+00
Skewness         -0.225599E+00  -0.191540E+00   0.276006E+01   0.756972E+00
Kurtosis          0.353765E+00   0.853864E-01   0.202916E+02   0.110614E+01
MaxPost           0.104237E+03   0.839744E+02   0.796485E+01   0.467618E+01
