               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.897988E+02   0.937151E+02   0.251455E+01   0.123932E-02
Maximum           0.999090E+02   0.982651E+02   0.389192E+01   0.355904E+01
Range             0.101102E+02   0.455000E+01   0.137737E+01   0.355780E+01
Mean              0.962366E+02   0.960646E+02   0.315117E+01   0.614067E+00
Median            0.963877E+02   0.960926E+02   0.312385E+01   0.496327E+00
Q10%              0.946170E+02   0.952100E+02   0.260780E+01   0.997772E-01
Q25%              0.955995E+02   0.956651E+02   0.279646E+01   0.256762E+00
Q75%              0.970986E+02   0.964674E+02   0.350812E+01   0.846472E+00
Q90%              0.977132E+02   0.968638E+02   0.374544E+01   0.128680E+01
St.Dev.           0.132225E+01   0.666917E+00   0.412845E+00   0.523959E+00
Variance          0.174834E+01   0.444778E+00   0.170441E+00   0.274534E+00
CV                0.137396E-01   0.694238E-02   0.131013E+00   0.853261E+00
Skewness         -0.864443E+00  -0.190482E+00   0.166421E+00   0.169806E+01
Kurtosis          0.190499E+01   0.545401E+00  -0.123035E+01   0.405627E+01
MaxPost           0.967081E+02   0.955805E+02   0.387390E+01   0.238699E-01
