               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.557389E+02   0.143269E-01
Maximum           0.716297E+02   0.156956E+02
Range             0.158908E+02   0.156813E+02
Mean              0.658342E+02   0.413534E+01
Median            0.659178E+02   0.368560E+01
Q10%              0.637023E+02   0.184520E+01
Q25%              0.649967E+02   0.266050E+01
Q75%              0.668675E+02   0.519676E+01
Q90%              0.680041E+02   0.702302E+01
St.Dev.           0.183484E+01   0.218921E+01
Variance          0.336664E+01   0.479263E+01
CV                0.278707E-01   0.529390E+00
Skewness         -0.556114E+00   0.123118E+01
Kurtosis          0.283812E+01   0.293748E+01
MaxPost           0.660748E+02   0.232727E+01
