"loglikelihood"	"logprio"	"logposterior"
-11.1443298140119	-4.60517018598809	-15.7495
-12.2197298140119	-4.60517018598809	-16.8249
-10.8699298140119	-4.60517018598809	-15.4751
-11.0132298140119	-4.60517018598809	-15.6184
-10.9347298140119	-4.60517018598809	-15.5399
-14.3716298140119	-4.60517018598809	-18.9768
-12.3790298140119	-4.60517018598809	-16.9842
-11.1941298140119	-4.60517018598809	-15.7993
-11.1499298140119	-4.60517018598809	-15.7551
-11.4727298140119	-4.60517018598809	-16.0779
-11.1517298140119	-4.60517018598809	-15.7569
-13.1975298140119	-4.60517018598809	-17.8027
-11.7283298140119	-4.60517018598809	-16.3335
-13.1165298140119	-4.60517018598809	-17.7217
-12.3141298140119	-4.60517018598809	-16.9193
-11.3812298140119	-4.60517018598809	-15.9864
-12.8765298140119	-4.60517018598809	-17.4817
-11.4088298140119	-4.60517018598809	-16.014
-11.1111298140119	-4.60517018598809	-15.7163
-11.1895298140119	-4.60517018598809	-15.7947
-12.0454298140119	-4.60517018598809	-16.6506
-11.7450298140119	-4.60517018598809	-16.3502
-13.3228298140119	-4.60517018598809	-17.928
-11.1778298140119	-4.60517018598809	-15.783
-11.0951298140119	-4.60517018598809	-15.7003
-12.0075298140119	-4.60517018598809	-16.6127
-11.5245298140119	-4.60517018598809	-16.1297
-15.7929298140119	-4.60517018598809	-20.3981
-13.8283298140119	-4.60517018598809	-18.4335
-13.7181298140119	-4.60517018598809	-18.3233
-11.8920298140119	-4.60517018598809	-16.4972
-14.2228298140119	-4.60517018598809	-18.828
-11.0147298140119	-4.60517018598809	-15.6199
-11.0276298140119	-4.60517018598809	-15.6328
-10.8811298140119	-4.60517018598809	-15.4863
-11.2374298140119	-4.60517018598809	-15.8426
-11.9582298140119	-4.60517018598809	-16.5634
-13.5991298140119	-4.60517018598809	-18.2043
-14.9661298140119	-4.60517018598809	-19.5713
-11.2407298140119	-4.60517018598809	-15.8459
-12.0725298140119	-4.60517018598809	-16.6777
-13.2132298140119	-4.60517018598809	-17.8184
-11.6969298140119	-4.60517018598809	-16.3021
-12.1607298140119	-4.60517018598809	-16.7659
-12.0872298140119	-4.60517018598809	-16.6924
-11.4092298140119	-4.60517018598809	-16.0144
-11.1403298140119	-4.60517018598809	-15.7455
-15.3216298140119	-4.60517018598809	-19.9268
-12.0735298140119	-4.60517018598809	-16.6787
-12.8294298140119	-4.60517018598809	-17.4346
-11.2262298140119	-4.60517018598809	-15.8314
-14.4255298140119	-4.60517018598809	-19.0307
-11.5558298140119	-4.60517018598809	-16.161
-12.3040298140119	-4.60517018598809	-16.9092
-13.5620298140119	-4.60517018598809	-18.1672
-11.9296298140119	-4.60517018598809	-16.5348
-11.5712298140119	-4.60517018598809	-16.1764
-13.1016298140119	-4.60517018598809	-17.7068
-11.0155298140119	-4.60517018598809	-15.6207
-11.3089298140119	-4.60517018598809	-15.9141
-12.3157298140119	-4.60517018598809	-16.9209
-12.1128298140119	-4.60517018598809	-16.718
-12.1873298140119	-4.60517018598809	-16.7925
-12.0380298140119	-4.60517018598809	-16.6432
-14.9477298140119	-4.60517018598809	-19.5529
-12.4928298140119	-4.60517018598809	-17.098
-12.0473298140119	-4.60517018598809	-16.6525
-17.3224298140119	-4.60517018598809	-21.9276
-11.0748298140119	-4.60517018598809	-15.68
-11.3817298140119	-4.60517018598809	-15.9869
-11.7024298140119	-4.60517018598809	-16.3076
-11.0533298140119	-4.60517018598809	-15.6585
-11.5723298140119	-4.60517018598809	-16.1775
-11.7689298140119	-4.60517018598809	-16.3741
-11.8408298140119	-4.60517018598809	-16.446
-12.0049298140119	-4.60517018598809	-16.6101
-10.8810298140119	-4.60517018598809	-15.4862
-10.9181298140119	-4.60517018598809	-15.5233
-12.3940298140119	-4.60517018598809	-16.9992
-12.3461298140119	-4.60517018598809	-16.9513
-11.6459298140119	-4.60517018598809	-16.2511
-11.1607298140119	-4.60517018598809	-15.7659
-11.2817298140119	-4.60517018598809	-15.8869
-14.0479298140119	-4.60517018598809	-18.6531
-11.3729298140119	-4.60517018598809	-15.9781
-11.8404298140119	-4.60517018598809	-16.4456
-11.2266298140119	-4.60517018598809	-15.8318
-12.4803298140119	-4.60517018598809	-17.0855
-13.8462298140119	-4.60517018598809	-18.4514
-13.4260298140119	-4.60517018598809	-18.0312
-10.9022298140119	-4.60517018598809	-15.5074
-11.3296298140119	-4.60517018598809	-15.9348
-10.8707298140119	-4.60517018598809	-15.4759
-12.2086298140119	-4.60517018598809	-16.8138
-14.0123298140119	-4.60517018598809	-18.6175
-13.3030298140119	-4.60517018598809	-17.9082
-12.6530298140119	-4.60517018598809	-17.2582
-10.9841298140119	-4.60517018598809	-15.5893
-11.0093298140119	-4.60517018598809	-15.6145
-11.7561298140119	-4.60517018598809	-16.3613
-11.1704298140119	-4.60517018598809	-15.7756
-13.2538298140119	-4.60517018598809	-17.859
-14.7363298140119	-4.60517018598809	-19.3415
-11.6501298140119	-4.60517018598809	-16.2553
-10.9184298140119	-4.60517018598809	-15.5236
-11.0114298140119	-4.60517018598809	-15.6166
-13.3646298140119	-4.60517018598809	-17.9698
-11.7508298140119	-4.60517018598809	-16.356
-13.9247298140119	-4.60517018598809	-18.5299
-12.2837298140119	-4.60517018598809	-16.8889
-12.8599298140119	-4.60517018598809	-17.4651
-11.2147298140119	-4.60517018598809	-15.8199
-13.5178298140119	-4.60517018598809	-18.123
-11.5042298140119	-4.60517018598809	-16.1094
-11.0251298140119	-4.60517018598809	-15.6303
-11.1729298140119	-4.60517018598809	-15.7781
-13.4809298140119	-4.60517018598809	-18.0861
-11.3638298140119	-4.60517018598809	-15.969
-13.8777298140119	-4.60517018598809	-18.4829
-11.9090298140119	-4.60517018598809	-16.5142
-12.2928298140119	-4.60517018598809	-16.898
-11.4595298140119	-4.60517018598809	-16.0647
-12.5114298140119	-4.60517018598809	-17.1166
-11.5440298140119	-4.60517018598809	-16.1492
-16.9292298140119	-4.60517018598809	-21.5344
-11.2370298140119	-4.60517018598809	-15.8422
-12.2825298140119	-4.60517018598809	-16.8877
-13.7359298140119	-4.60517018598809	-18.3411
-11.1432298140119	-4.60517018598809	-15.7484
-11.4242298140119	-4.60517018598809	-16.0294
-14.7327298140119	-4.60517018598809	-19.3379
-12.2966298140119	-4.60517018598809	-16.9018
-13.2075298140119	-4.60517018598809	-17.8127
-12.4801298140119	-4.60517018598809	-17.0853
-13.1790298140119	-4.60517018598809	-17.7842
-11.2538298140119	-4.60517018598809	-15.859
-11.7036298140119	-4.60517018598809	-16.3088
-12.0175298140119	-4.60517018598809	-16.6227
-13.9079298140119	-4.60517018598809	-18.5131
-11.3899298140119	-4.60517018598809	-15.9951
-12.9291298140119	-4.60517018598809	-17.5343
-12.1717298140119	-4.60517018598809	-16.7769
-11.0527298140119	-4.60517018598809	-15.6579
-11.0734298140119	-4.60517018598809	-15.6786
-11.0292298140119	-4.60517018598809	-15.6344
-15.1136298140119	-4.60517018598809	-19.7188
-15.6762298140119	-4.60517018598809	-20.2814
-15.3092298140119	-4.60517018598809	-19.9144
-12.1395298140119	-4.60517018598809	-16.7447
-11.4225298140119	-4.60517018598809	-16.0277
-12.1707298140119	-4.60517018598809	-16.7759
-11.5300298140119	-4.60517018598809	-16.1352
-13.4893298140119	-4.60517018598809	-18.0945
-14.5701298140119	-4.60517018598809	-19.1753
-12.3398298140119	-4.60517018598809	-16.945
-13.2516298140119	-4.60517018598809	-17.8568
-11.2384298140119	-4.60517018598809	-15.8436
-11.1263298140119	-4.60517018598809	-15.7315
-12.2312298140119	-4.60517018598809	-16.8364
-11.4040298140119	-4.60517018598809	-16.0092
-11.2958298140119	-4.60517018598809	-15.901
-11.0117298140119	-4.60517018598809	-15.6169
-11.1919298140119	-4.60517018598809	-15.7971
-11.7024298140119	-4.60517018598809	-16.3076
-11.1399298140119	-4.60517018598809	-15.7451
-10.9966298140119	-4.60517018598809	-15.6018
-10.8854298140119	-4.60517018598809	-15.4906
-11.1085298140119	-4.60517018598809	-15.7137
