               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.973409E+02   0.954667E+02   0.387260E-01   0.171724E-03
Maximum           0.108763E+03   0.102481E+03   0.250238E+01   0.188305E+01
Range             0.114221E+02   0.701430E+01   0.246365E+01   0.188288E+01
Mean              0.101996E+03   0.997837E+02   0.705439E+00   0.473435E+00
Median            0.101729E+03   0.998091E+02   0.306457E+00   0.435685E+00
Q10%              0.996990E+02   0.993560E+02   0.962620E-01   0.673410E-01
Q25%              0.100130E+03   0.996149E+02   0.176264E+00   0.203137E+00
Q75%              0.103444E+03   0.100004E+03   0.982590E+00   0.676571E+00
Q90%              0.105093E+03   0.100248E+03   0.225784E+01   0.930816E+00
St.Dev.           0.214256E+01   0.589678E+00   0.796755E+00   0.332798E+00
Variance          0.459056E+01   0.347720E+00   0.634818E+00   0.110754E+00
CV                0.210063E-01   0.590956E-02   0.112944E+01   0.702944E+00
Skewness          0.584545E+00  -0.179205E+01   0.124771E+01   0.856532E+00
Kurtosis         -0.442134E+00   0.146102E+02  -0.873654E-01   0.901237E+00
MaxPost           0.103016E+03   0.997776E+02   0.268096E+00   0.459331E-01
