               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.995020E+02   0.107653E+03   0.875925E+01   0.133584E-03
Maximum           0.100297E+03   0.109299E+03   0.887431E+01   0.761736E+00
Range             0.795000E+00   0.164600E+01   0.115060E+00   0.761602E+00
Mean              0.999362E+02   0.108366E+03   0.885370E+01   0.260846E+00
Median            0.999365E+02   0.108358E+03   0.885456E+01   0.226918E+00
Q10%              0.997914E+02   0.108006E+03   0.883803E+01   0.516333E-01
Q25%              0.998537E+02   0.108178E+03   0.884482E+01   0.121253E+00
Q75%              0.100014E+03   0.108549E+03   0.886411E+01   0.373573E+00
Q90%              0.100096E+03   0.108723E+03   0.887050E+01   0.512440E+00
St.Dev.           0.124282E+00   0.283111E+00   0.140409E-01   0.172780E+00
Variance          0.154459E-01   0.801518E-01   0.197147E-03   0.298530E-01
CV                0.124361E-02   0.261255E-02   0.158588E-02   0.662385E+00
Skewness         -0.275749E-01   0.160517E+00  -0.186020E+01   0.641265E+00
Kurtosis          0.402795E+00   0.334016E-01   0.912712E+01  -0.253603E+00
MaxPost           0.999413E+02   0.108343E+03   0.884678E+01   0.119625E+00
