               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.794220E+02   0.405876E-02
Maximum           0.933695E+02   0.210347E+02
Range             0.139475E+02   0.210306E+02
Mean              0.869442E+02   0.195763E+01
Median            0.869061E+02   0.131838E+01
Q10%              0.854873E+02   0.278170E+00
Q25%              0.861365E+02   0.617149E+00
Q75%              0.876099E+02   0.240471E+01
Q90%              0.886437E+02   0.422666E+01
St.Dev.           0.146654E+01   0.237946E+01
Variance          0.215074E+01   0.566182E+01
CV                0.168676E-01   0.121548E+01
Skewness          0.214441E+00   0.395302E+01
Kurtosis          0.343841E+01   0.226933E+02
MaxPost           0.866020E+02   0.315654E-01
