               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.959587E+02   0.107138E+03   0.431598E+01   0.274819E+01
Maximum           0.103449E+03   0.117127E+03   0.639886E+01   0.801122E+01
Range             0.749030E+01   0.998900E+01   0.208288E+01   0.526303E+01
Mean              0.100746E+03   0.113493E+03   0.587034E+01   0.419833E+01
Median            0.100791E+03   0.113537E+03   0.588066E+01   0.410821E+01
Q10%              0.995378E+02   0.111695E+03   0.549673E+01   0.343910E+01
Q25%              0.100090E+03   0.112518E+03   0.562698E+01   0.375999E+01
Q75%              0.101398E+03   0.114410E+03   0.613050E+01   0.460686E+01
Q90%              0.102042E+03   0.115184E+03   0.629580E+01   0.507577E+01
St.Dev.           0.104304E+01   0.139448E+01   0.323908E+00   0.659510E+00
Variance          0.108793E+01   0.194456E+01   0.104916E+00   0.434954E+00
CV                0.103532E-01   0.122869E-01   0.551771E-01   0.157089E+00
Skewness         -0.399549E+00  -0.216981E+00  -0.591933E+00   0.773629E+00
Kurtosis          0.121845E+01   0.707723E+00   0.942410E+00   0.203937E+01
MaxPost           0.100957E+03   0.113544E+03   0.562003E+01   0.385241E+01
