               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.504397E+02   0.541663E+02   0.793445E+01   0.140292E-02
Maximum           0.804962E+02   0.885436E+02   0.814932E+01   0.292978E+02
Range             0.300565E+02   0.343773E+02   0.214870E+00   0.292964E+02
Mean              0.697635E+02   0.696327E+02   0.803369E+01   0.220871E+01
Median            0.699660E+02   0.694708E+02   0.803163E+01   0.126075E+01
Q10%              0.676627E+02   0.674470E+02   0.795101E+01   0.256825E+00
Q25%              0.687651E+02   0.686033E+02   0.797587E+01   0.606321E+00
Q75%              0.709331E+02   0.704602E+02   0.808818E+01   0.262130E+01
Q90%              0.720721E+02   0.715391E+02   0.812490E+01   0.453829E+01
St.Dev.           0.261230E+01   0.259591E+01   0.631898E-01   0.318031E+01
Variance          0.682410E+01   0.673875E+01   0.399296E-02   0.101144E+02
CV                0.374451E-01   0.372800E-01   0.786561E-02   0.143989E+01
Skewness         -0.192675E+01   0.175138E+01   0.153082E+00   0.435793E+01
Kurtosis          0.124145E+02   0.160391E+02  -0.122393E+01   0.253529E+02
MaxPost           0.700798E+02   0.693573E+02   0.808887E+01   0.155964E+00
