               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.115675E+03   0.100601E+03   0.852991E+01   0.552858E-02
Maximum           0.119055E+03   0.106439E+03   0.880418E+01   0.261598E+01
Range             0.338000E+01   0.583800E+01   0.274270E+00   0.261045E+01
Mean              0.117315E+03   0.103483E+03   0.865915E+01   0.551796E+00
Median            0.117322E+03   0.103488E+03   0.864934E+01   0.463302E+00
Q10%              0.116663E+03   0.102328E+03   0.854850E+01   0.777159E-01
Q25%              0.116995E+03   0.102882E+03   0.858535E+01   0.179522E+00
Q75%              0.117620E+03   0.104100E+03   0.873419E+01   0.807639E+00
Q90%              0.117925E+03   0.104636E+03   0.878115E+01   0.114487E+01
St.Dev.           0.509070E+00   0.930100E+00   0.824978E-01   0.460785E+00
Variance          0.259152E+00   0.865087E+00   0.680589E-02   0.212323E+00
CV                0.433935E-02   0.898795E-02   0.952725E-02   0.835065E+00
Skewness          0.880122E-01   0.121858E+00   0.129349E+00   0.128784E+01
Kurtosis          0.641901E+00   0.246084E+00  -0.123422E+01   0.212159E+01
MaxPost           0.117357E+03   0.103442E+03   0.873824E+01   0.337723E-01
