               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.926414E+02   0.869476E+02   0.563250E+00   0.429280E-02
Maximum           0.107983E+03   0.104290E+03   0.166461E+01   0.118701E+02
Range             0.153416E+02   0.173424E+02   0.110136E+01   0.118658E+02
Mean              0.995407E+02   0.971671E+02   0.916612E+00   0.160166E+01
Median            0.996094E+02   0.971130E+02   0.826313E+00   0.120809E+01
Q10%              0.976001E+02   0.954468E+02   0.629614E+00   0.230343E+00
Q25%              0.986210E+02   0.963587E+02   0.701378E+00   0.542121E+00
Q75%              0.100465E+03   0.978494E+02   0.103112E+01   0.202806E+01
Q90%              0.101317E+03   0.986994E+02   0.142450E+01   0.338548E+01
St.Dev.           0.162415E+01   0.170318E+01   0.288407E+00   0.162401E+01
Variance          0.263787E+01   0.290081E+01   0.831785E-01   0.263740E+01
CV                0.163165E-01   0.175283E-01   0.314644E+00   0.101395E+01
Skewness          0.467418E-01   0.415592E-01   0.107240E+01   0.280174E+01
Kurtosis          0.287492E+01   0.640162E+01   0.776015E-01   0.115651E+02
MaxPost           0.999054E+02   0.969405E+02   0.702829E+00   0.112986E+00
