               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.101602E+03   0.451223E+01
Maximum           0.106609E+03   0.780123E+01
Range             0.500700E+01   0.328900E+01
Mean              0.104375E+03   0.585514E+01
Median            0.104403E+03   0.583444E+01
Q10%              0.103331E+03   0.510689E+01
Q25%              0.103833E+03   0.544548E+01
Q75%              0.104948E+03   0.623588E+01
Q90%              0.105416E+03   0.658720E+01
St.Dev.           0.790492E+00   0.572137E+00
Variance          0.624877E+00   0.327340E+00
CV                0.757356E-02   0.977153E-01
Skewness         -0.716956E-01   0.333618E+00
Kurtosis         -0.157399E+00  -0.131560E+00
MaxPost           0.104436E+03   0.569537E+01
