               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.991453E+02   0.218785E-03
Maximum           0.100731E+03   0.184715E+01
Range             0.158570E+01   0.184693E+01
Mean              0.999006E+02   0.511351E+00
Median            0.999121E+02   0.455430E+00
Q10%              0.995660E+02   0.915846E-01
Q25%              0.997193E+02   0.216639E+00
Q75%              0.100067E+03   0.723052E+00
Q90%              0.100213E+03   0.101744E+01
St.Dev.           0.251294E+00   0.360323E+00
Variance          0.631486E-01   0.129833E+00
CV                0.251544E-02   0.704650E+00
Skewness         -0.331554E-01   0.828559E+00
Kurtosis         -0.717229E-02   0.330240E+00
MaxPost           0.998104E+02   0.754861E-02
