               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.871051E+02   0.412758E-02
Maximum           0.929815E+02   0.611483E+01
Range             0.587640E+01   0.611070E+01
Mean              0.905273E+02   0.154874E+01
Median            0.905110E+02   0.145873E+01
Q10%              0.897426E+02   0.477005E+00
Q25%              0.901011E+02   0.933519E+00
Q75%              0.909330E+02   0.199720E+01
Q90%              0.913916E+02   0.277454E+01
St.Dev.           0.703895E+00   0.899731E+00
Variance          0.495468E+00   0.809517E+00
CV                0.777550E-02   0.580946E+00
Skewness         -0.171553E+00   0.949112E+00
Kurtosis          0.222768E+01   0.164304E+01
MaxPost           0.905333E+02   0.118049E+01
