               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.107218E+03   0.365903E+01
Maximum           0.113164E+03   0.829080E+01
Range             0.594600E+01   0.463177E+01
Mean              0.110218E+03   0.535987E+01
Median            0.110259E+03   0.529408E+01
Q10%              0.109027E+03   0.451203E+01
Q25%              0.109626E+03   0.486627E+01
Q75%              0.110859E+03   0.579979E+01
Q90%              0.111400E+03   0.624222E+01
St.Dev.           0.921801E+00   0.707315E+00
Variance          0.849717E+00   0.500295E+00
CV                0.836346E-02   0.131965E+00
Skewness         -0.195957E+00   0.639437E+00
Kurtosis          0.130695E+00   0.773090E+00
MaxPost           0.110234E+03   0.505649E+01
