               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.950275E+02   0.981677E+02   0.243264E+00   0.493014E-03
Maximum           0.103039E+03   0.104111E+03   0.992807E+01   0.834028E+00
Range             0.801150E+01   0.594330E+01   0.968481E+01   0.833535E+00
Mean              0.994990E+02   0.999499E+02   0.448730E+01   0.215179E+00
Median            0.997071E+02   0.998367E+02   0.396626E+01   0.179325E+00
Q10%              0.983595E+02   0.995671E+02   0.534771E+00   0.371237E-01
Q25%              0.993838E+02   0.996910E+02   0.102372E+01   0.911318E-01
Q75%              0.999060E+02   0.100013E+03   0.768489E+01   0.308246E+00
Q90%              0.100107E+03   0.100267E+03   0.960823E+01   0.436098E+00
St.Dev.           0.898945E+00   0.606848E+00   0.340139E+01   0.159029E+00
Variance          0.808101E+00   0.368265E+00   0.115695E+02   0.252903E-01
CV                0.903471E-02   0.607152E-02   0.758005E+00   0.739055E+00
Skewness         -0.155156E+01   0.333293E+01   0.259756E+00   0.935962E+00
Kurtosis          0.535587E+01   0.147362E+02  -0.145208E+01   0.626693E+00
MaxPost           0.998128E+02   0.101051E+03   0.967737E+01   0.335362E-01
