"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
114.022	103.065	9.01594	0.338742	-67.2195
114.205	103.58	8.97121	0.690331	-68.0882
113.928	104.052	8.97686	0.387292	-68.9227
113.969	102.988	8.97012	0.0337409	-67.3128
113.969	103.424	9.00018	0.0112771	-66.3957
113.994	103.223	9.00152	0.913084	-67.9024
113.994	102.994	9.04141	0.400332	-67.4244
113.588	103.148	9.04141	0.609545	-67.25
113.503	102.926	9.01605	0.609545	-68.2064
113.675	103.276	9.02608	0.0531558	-66.3567
113.604	103.097	9.03627	0.127169	-67.0536
113.818	103.376	9.03627	0.0347358	-66.1083
113.793	103.389	8.99625	0.904186	-67.6015
113.759	103.274	8.9647	0.73945	-67.0886
114.327	103.902	9.0019	0.73945	-69.6789
114.327	103.741	9.03215	0.831999	-69.2855
113.545	102.626	9.03215	0.980872	-69.8366
113.601	103.921	8.98151	0.543377	-68.1319
114.098	103.466	8.97373	0.274716	-67.0461
113.961	103.427	8.97036	0.274716	-66.431
113.401	103.519	8.98151	0.274716	-67.9393
113.849	103.222	8.98261	0.110659	-66.2404
113.849	103.14	8.98261	0.864756	-67.6511
113.647	103.122	8.96489	0.446986	-66.9295
113.892	103.5	9.01336	0.00494643	-66.3471
113.814	103.634	9.02931	0.537501	-66.812
114.279	102.986	9.02931	0.00535258	-69.372
114.259	102.999	8.96754	0.48876	-68.8134
113.953	103.393	9.02365	0.930524	-67.8176
114.346	103.463	8.99989	1.13049	-69.8739
114.116	103.073	9.0238	0.469959	-67.6848
113.453	103.04	8.96253	0.733307	-68.2095
113.907	103.906	8.96253	0.893191	-68.4213
114.148	102.962	8.99158	0.237692	-68.3298
113.906	103.658	8.97988	0.236883	-66.8281
113.631	103.47	8.96645	0.141708	-66.5774
113.976	103.295	8.96645	0.518205	-66.7695
113.769	103.761	8.9828	0.456445	-67.1202
113.888	103.57	8.97808	0.177577	-66.5133
113.888	103.874	9.04301	0.160353	-68.1144
113.888	103.187	9.03479	1.05339	-68.3768
113.888	103.245	8.98993	0.00991502	-66.2234
113.698	103.245	9.00677	0.00991502	-66.3281
113.962	103.222	8.98141	0.187282	-66.483
114.073	103.363	8.97087	0.235832	-66.8368
