               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.894208E+02   0.260656E-02
Maximum           0.946469E+02   0.539773E+01
Range             0.522610E+01   0.539512E+01
Mean              0.921666E+02   0.926259E+00
Median            0.921659E+02   0.694236E+00
Q10%              0.912207E+02   0.128555E+00
Q25%              0.917157E+02   0.325060E+00
Q75%              0.926295E+02   0.128926E+01
Q90%              0.930977E+02   0.205944E+01
St.Dev.           0.746553E+00   0.813120E+00
Variance          0.557342E+00   0.661164E+00
CV                0.810004E-02   0.877854E+00
Skewness          0.667530E-02   0.176169E+01
Kurtosis          0.631052E+00   0.460888E+01
MaxPost           0.921110E+02   0.271197E-01
