               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.934547E+02   0.163662E-02
Maximum           0.102661E+03   0.132037E+02
Range             0.920630E+01   0.132021E+02
Mean              0.981078E+02   0.206962E+01
Median            0.981595E+02   0.169500E+01
Q10%              0.967001E+02   0.595882E+00
Q25%              0.975051E+02   0.116308E+01
Q75%              0.987539E+02   0.259225E+01
Q90%              0.993841E+02   0.373480E+01
St.Dev.           0.116012E+01   0.157776E+01
Variance          0.134589E+01   0.248933E+01
CV                0.118250E-01   0.762345E+00
Skewness         -0.341622E+00   0.264258E+01
Kurtosis          0.214533E+01   0.115788E+02
MaxPost           0.981228E+02   0.118454E+01
