"res1"	"Y1_gamma1"	"LogPost"
80.6355	0.0475517	-18.5771
80.8604	0.350451	-19.1324
80.4935	0.510524	-19.8218
80.6681	0.4239	-19.2687
80.6594	0.201861	-18.718
81.1523	0.0186354	-19.7949
81.0666	0.355885	-19.7246
80.7702	0.355885	-19.0537
80.8308	0.306761	-18.9767
80.3697	0.725298	-20.905
80.4666	0.900507	-21.3873
80.7804	0.301238	-18.9145
80.9777	0.144068	-19.028
81.1241	0.0914282	-19.6498
80.0545	1.59464	-25.1536
80.306	0.611787	-20.7335
80.4033	0.554388	-20.2135
80.559	0.554795	-19.8446
80.1232	0.147085	-21.1398
80.1851	0.599324	-21.2326
80.8285	0.267773	-18.8824
81.0592	0.401553	-19.8041
81.0472	0.437247	-19.8541
81.0198	0.772695	-20.9316
80.8862	1.27583	-22.9516
79.8968	1.65986	-25.7989
80.7818	0.270284	-18.8421
80.7213	0.742644	-20.4698
80.962	0.113623	-18.9455
80.9754	0.71932	-20.6243
80.8419	0.918673	-21.291
80.7659	0.0269028	-18.518
81.0794	0.135156	-19.4436
80.7206	0.233369	-18.7454
80.6075	0.233369	-18.8413
80.5655	0.661558	-20.2406
80.6785	0.829096	-20.8536
80.7273	0.827427	-20.8384
80.2983	0.906357	-21.795
80.3317	0.424535	-20.1217
80.7153	0.214023	-18.7089
81.0462	0.615538	-20.4104
80.965	0.313825	-19.2754
80.2775	0.436758	-20.4019
80.5972	0.779089	-20.6888
81.1951	0.791501	-21.5098
81.2044	0.434811	-20.5367
80.9553	0.842338	-21.0929
80.7629	1.12218	-22.1837
80.8583	0.305375	-19.013
80.644	0.237494	-18.8001
81.1868	0.134149	-20.0478
80.5884	0.491142	-19.5755
80.0504	0.752048	-22.2919
80.4116	0.393259	-19.726
81.0604	0.179498	-19.3978
80.4517	0.380094	-19.5561
80.9049	0.119428	-18.7869
80.9049	0.0518638	-18.7392
80.8155	0.159765	-18.6711
80.7855	0.84004	-20.9072
80.6917	0.131381	-18.592
