               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.994876E+02   0.980523E+02   0.904596E+01   0.416436E-02
Maximum           0.106144E+03   0.108266E+03   0.995927E+01   0.288148E+01
Range             0.665640E+01   0.102137E+02   0.913310E+00   0.287732E+01
Mean              0.103512E+03   0.102677E+03   0.960608E+01   0.752850E+00
Median            0.103521E+03   0.102844E+03   0.971976E+01   0.672662E+00
Q10%              0.102770E+03   0.101053E+03   0.915536E+01   0.137387E+00
Q25%              0.103217E+03   0.102007E+03   0.943928E+01   0.307890E+00
Q75%              0.103885E+03   0.103391E+03   0.981930E+01   0.108713E+01
Q90%              0.104232E+03   0.103846E+03   0.990075E+01   0.149088E+01
St.Dev.           0.664723E+00   0.119004E+01   0.266208E+00   0.543550E+00
Variance          0.441857E+00   0.141620E+01   0.708669E-01   0.295447E+00
CV                0.642173E-02   0.115901E-01   0.277125E-01   0.721990E+00
Skewness         -0.601446E+00   0.716819E-02  -0.634709E+00   0.948725E+00
Kurtosis          0.445011E+01   0.230875E+01  -0.816554E+00   0.907111E+00
MaxPost           0.103507E+03   0.101942E+03   0.974537E+01   0.454774E-01
